ticker,call_date,stratum,ret,gt,b1,b2,expectedReturn,rangeLow,rangeHigh,p9_group,b1_dir,b2_dir
AIG,2022-02-17,S3,-5.6678,neutral,2,2,8.0,-10.0,25.0,bullish,neutral,neutral
AIG,2022-05-04,S3,1.6187,neutral,3,3,8.0,-10.0,22.0,bullish,bullish,bullish
AIG,2022-08-09,S3,11.5034,bullish,2,2,8.0,-10.0,25.0,neutral,neutral,neutral
AIG,2022-11-02,S3,-20.8416,bearish,2,2,8.0,-10.0,25.0,bullish,neutral,neutral
AIG,2023-02-16,S3,-11.6661,bearish,2,2,7.0,-8.0,20.0,neutral,neutral,neutral
AIG,2023-05-05,S3,13.2679,bullish,2,2,8.0,-10.0,25.0,bullish,neutral,neutral
AIG,2023-08-02,S3,6.1059,bullish,3,3,8.0,-8.0,22.0,neutral,bullish,bullish
AIG,2023-11-02,S3,6.3474,neutral,3,2,8.0,-8.0,22.0,bullish,bullish,neutral
AIG,2024-02-14,S3,-4.6019,neutral,2,2,8.0,-10.0,25.0,neutral,neutral,neutral
AIG,2024-05-02,S3,-14.5297,bearish,3,2,8.0,-10.0,25.0,neutral,bullish,neutral
AIG,2024-08-01,S3,-8.7436,bearish,2,2,5.0,-15.0,25.0,neutral,neutral,neutral
AIG,2024-11-05,S3,12.6088,bullish,2,2,5.0,-12.0,20.0,neutral,neutral,neutral
AIG,2025-02-12,S3,-1.1984,neutral,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
AIG,2025-05-02,S3,-25.9625,bearish,3,3,8.0,-10.0,25.0,bullish,bullish,bullish
AIG,2025-08-07,S3,-9.1241,bearish,2,2,5.0,-12.0,22.0,neutral,neutral,neutral
AIG,2025-11-05,S3,-7.6278,bearish,2,2,-5.0,-20.0,10.0,bearish,neutral,neutral
AMPX,2022-11-10,S5,-23.436,bearish,-2,-2,-10.0,-35.0,15.0,bearish,bearish,bearish
AMPX,2023-03-23,S5,-56.2057,bearish,-2,-3,-10.0,-35.0,15.0,bearish,bearish,bearish
AMPX,2023-05-10,S5,-70.8952,bearish,-2,-2,-10.0,-35.0,15.0,bearish,bearish,bearish
AMPX,2023-08-10,S5,-40.6266,bearish,-2,1,-5.0,-30.0,20.0,neutral,bearish,neutral
AMPX,2023-11-09,S5,-48.8979,bearish,-2,-2,-8.0,-30.0,15.0,bearish,bearish,bearish
AMPX,2024-03-21,S5,-77.846,bearish,-3,-2,-8.0,-25.0,10.0,bearish,bearish,bearish
AMPX,2024-05-09,S5,-48.3658,bearish,-2,-2,-8.0,-30.0,15.0,bearish,bearish,bearish
AMPX,2024-08-08,S5,199.0858,bullish,-2,-2,-5.0,-25.0,15.0,bearish,bearish,bearish
AMPX,2024-11-07,S5,49.469,bullish,2,2,12.0,-20.0,45.0,bullish,neutral,neutral
AMPX,2025-03-20,S5,251.3841,bullish,-1,1,8.0,-25.0,45.0,bullish,neutral,neutral
AMPX,2025-05-08,S5,337.0928,bullish,2,2,5.0,-25.0,40.0,neutral,neutral,neutral
AMPX,2025-08-07,S5,24.9188,bullish,3,3,18.0,-10.0,50.0,bullish,bullish,bullish
AMPX,2025-11-06,S5,17.5183,bullish,3,3,12.0,-15.0,40.0,bullish,bullish,bullish
ELV,2020-04-29,S3,-10.6492,bearish,2,2,5.0,-15.0,20.0,neutral,neutral,neutral
ELV,2020-07-29,S3,-10.8902,bearish,2,2,5.0,-12.0,20.0,neutral,neutral,neutral
ELV,2020-10-28,S3,10.8419,neutral,-1,-1,-5.0,-20.0,10.0,neutral,neutral,neutral
ELV,2021-01-27,S3,10.2221,bullish,1,1,-5.0,-20.0,10.0,neutral,neutral,neutral
ELV,2021-04-21,S3,1.9204,neutral,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
ELV,2021-07-21,S3,12.9102,bullish,1,1,4.0,-10.0,18.0,neutral,neutral,neutral
ELV,2021-10-20,S3,25.0589,bullish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
ELV,2022-01-26,S3,14.3844,bullish,2,1,5.0,-10.0,20.0,neutral,neutral,neutral
ELV,2022-04-20,S3,9.1738,bullish,3,2,7.0,-8.0,22.0,neutral,bullish,neutral
ELV,2022-07-20,S3,3.9455,neutral,3,2,8.0,-10.0,22.0,bullish,bullish,neutral
ELV,2022-10-19,S3,-22.274,bearish,3,3,5.0,-10.0,20.0,neutral,bullish,bullish
ELV,2023-01-25,S3,-19.0326,bearish,2,3,5.0,-10.0,18.0,neutral,neutral,bullish
ELV,2023-04-19,S3,-1.2894,neutral,2,3,7.0,-8.0,20.0,neutral,neutral,bullish
ELV,2023-07-19,S3,-4.3717,neutral,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
ELV,2023-10-18,S3,-7.5192,bearish,2,-2,5.0,-15.0,20.0,neutral,neutral,bearish
ELV,2024-01-24,S3,-4.2782,neutral,1,-1,3.0,-12.0,18.0,neutral,neutral,neutral
ELV,2024-04-18,S3,-33.9929,bearish,1,2,-3.0,-18.0,12.0,neutral,neutral,neutral
ELV,2024-07-17,S3,-30.1295,bearish,-2,-2,-8.0,-25.0,8.0,bearish,bearish,bearish
ELV,2024-10-17,S3,8.5037,bullish,-3,-3,-20.0,-40.0,-5.0,bearish,bearish,bearish
ELV,2025-01-23,S3,-34.4109,bearish,-3,-2,-10.0,-25.0,5.0,bearish,bearish,bearish
ELV,2025-04-22,S3,-43.4427,bearish,-1,2,5.0,-15.0,20.0,neutral,neutral,neutral
ELV,2025-07-17,S3,27.533,bullish,-3,-3,-8.0,-30.0,12.0,bearish,bearish,bearish
ELV,2025-10-21,S3,-10.3863,bearish,-3,-3,-12.0,-30.0,5.0,bearish,bearish,bearish
BLK,2020-01-15,S1,9.0193,bullish,1,2,3.0,-12.0,18.0,neutral,neutral,neutral
BLK,2020-04-16,S1,14.2848,bullish,-1,-1,5.0,-15.0,25.0,neutral,neutral,neutral
BLK,2020-07-17,S1,9.7201,bullish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
BLK,2020-09-29,S1,15.085,bullish,2,2,3.0,-12.0,18.0,neutral,neutral,neutral
BLK,2021-01-14,S1,5.2017,neutral,2,1,3.0,-12.0,18.0,neutral,neutral,neutral
BLK,2021-04-15,S1,3.9405,neutral,3,2,5.0,-10.0,20.0,neutral,bullish,neutral
BLK,2021-07-14,S1,-7.762,bearish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
BLK,2021-10-13,S1,-19.989,bearish,2,2,5.0,-12.0,22.0,neutral,neutral,neutral
BLK,2022-01-14,S1,-12.2078,bearish,2,1,4.0,-12.0,20.0,neutral,neutral,neutral
BLK,2022-04-27,S1,8.6802,bullish,3,3,5.0,-10.0,20.0,neutral,bullish,bullish
BLK,2022-07-15,S1,21.8514,bullish,-2,-1,5.0,-15.0,20.0,neutral,bearish,neutral
BLK,2022-10-13,S1,6.1267,bullish,-2,-2,4.0,-12.0,18.0,neutral,bearish,bearish
BLK,2023-01-13,S1,-15.8441,bearish,1,2,7.0,-12.0,25.0,neutral,neutral,neutral
BLK,2023-04-14,S1,-14.3659,bearish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
BLK,2023-07-14,S1,4.1233,neutral,2,2,3.0,-12.0,18.0,neutral,neutral,neutral
BLK,2023-10-13,S1,2.9787,neutral,-1,-1,3.0,-12.0,18.0,neutral,neutral,neutral
BLK,2024-01-12,S1,-13.2864,bearish,3,3,6.0,-10.0,20.0,neutral,bullish,bullish
BLK,2024-04-12,S1,14.8933,bullish,2,2,8.0,-10.0,22.0,bullish,neutral,neutral
BLK,2024-07-15,S1,10.2345,bullish,2,3,4.0,-12.0,18.0,neutral,neutral,bullish
BLK,2024-10-11,S1,-2.7663,neutral,3,3,8.0,-8.0,22.0,neutral,bullish,bullish
BLK,2025-01-15,S1,3.1825,neutral,3,3,8.0,-10.0,22.0,bullish,bullish,bullish
BLK,2025-04-11,S1,6.1116,bullish,2,2,6.0,-10.0,22.0,neutral,neutral,neutral
BLK,2025-07-15,S1,-10.4674,bearish,2,3,8.0,-8.0,22.0,neutral,neutral,bullish
BLK,2025-10-14,S1,-16.7126,bearish,3,3,6.0,-10.0,20.0,neutral,bullish,bullish
BMY,2020-02-06,S3,-8.0676,bearish,2,-1,4.0,-12.0,20.0,neutral,neutral,neutral
BMY,2020-05-07,S3,-15.3421,bearish,-1,-1,6.0,-12.0,20.0,neutral,neutral,neutral
BMY,2020-08-06,S3,-14.5438,bearish,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
BMY,2020-11-05,S3,-18.6451,bearish,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
BMY,2021-02-04,S3,-1.6296,neutral,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
BMY,2021-04-29,S3,-18.3047,bearish,2,2,2.0,-12.0,18.0,neutral,neutral,neutral
BMY,2021-07-28,S3,-7.0222,bearish,2,2,2.0,-12.0,16.0,neutral,neutral,neutral
BMY,2021-10-27,S3,41.654,bullish,-1,-1,-4.0,-18.0,8.0,neutral,neutral,neutral
BMY,2022-02-04,S3,16.5139,bullish,1,1,3.0,-12.0,18.0,neutral,neutral,neutral
BMY,2022-04-29,S3,8.4735,bullish,1,-1,4.0,-12.0,18.0,neutral,neutral,neutral
BMY,2022-07-27,S3,-0.6396,neutral,1,1,0.0,-10.0,10.0,neutral,neutral,neutral
BMY,2022-10-26,S3,-15.2365,bearish,2,1,3.0,-12.0,18.0,neutral,neutral,neutral
BMY,2023-02-02,S3,-26.6062,bearish,1,1,4.0,-12.0,18.0,neutral,neutral,neutral
BMY,2023-04-27,S3,-19.8553,bearish,1,2,3.0,-12.0,18.0,neutral,neutral,neutral
BMY,2023-07-27,S3,-26.0237,bearish,1,1,-5.0,-20.0,8.0,neutral,neutral,neutral
BMY,2023-10-26,S3,-34.9864,bearish,-2,-2,-8.0,-25.0,8.0,bearish,bearish,bearish
BMY,2024-02-02,S3,-6.5455,bearish,-2,-1,-5.0,-20.0,8.0,bearish,bearish,neutral
BMY,2024-04-25,S3,4.028,neutral,1,-2,-5.0,-20.0,8.0,bearish,neutral,bearish
BMY,2024-07-26,S3,10.222,bullish,-1,-1,3.0,-12.0,18.0,neutral,neutral,neutral
BMY,2024-10-31,S3,-6.4696,bearish,-1,1,4.0,-15.0,20.0,neutral,neutral,neutral
BMY,2025-02-06,S3,-25.451,bearish,2,1,5.0,-15.0,25.0,neutral,neutral,neutral
BMY,2025-04-24,S3,-30.4931,bearish,2,2,5.0,-12.0,18.0,neutral,neutral,neutral
BMY,2025-07-31,S3,11.0899,bullish,1,1,4.0,-12.0,18.0,neutral,neutral,neutral
BMY,2025-10-30,S3,26.1512,bullish,2,1,5.0,-25.0,30.0,neutral,neutral,neutral
BOX,2020-12-01,S2,27.3335,bullish,-1,1,3.0,-15.0,20.0,neutral,neutral,neutral
BOX,2021-03-02,S2,19.6933,bullish,1,1,5.0,-12.0,22.0,neutral,neutral,neutral
BOX,2021-05-27,S2,-6.9087,bearish,1,2,5.0,-15.0,20.0,neutral,neutral,neutral
BOX,2021-08-25,S2,2.4244,neutral,3,3,10.0,-10.0,25.0,bullish,bullish,bullish
BOX,2021-11-30,S2,9.502,bullish,2,2,8.0,-12.0,28.0,neutral,neutral,neutral
BOX,2022-03-02,S2,6.2889,bullish,2,2,8.0,-10.0,25.0,neutral,neutral,neutral
BOX,2022-05-25,S2,3.0412,bullish,2,2,5.0,-12.0,20.0,neutral,neutral,neutral
BOX,2022-08-24,S2,24.107,bullish,1,2,8.0,-10.0,25.0,bullish,neutral,neutral
BOX,2022-11-30,S2,-6.1635,neutral,-1,-1,3.0,-15.0,20.0,neutral,neutral,neutral
BOX,2023-03-01,S2,-20.9998,bearish,-1,-2,-5.0,-20.0,10.0,neutral,neutral,bearish
BOX,2023-05-30,S2,-17.5357,bearish,1,-1,3.0,-15.0,20.0,neutral,neutral,neutral
BOX,2023-08-29,S2,-19.026,bearish,-2,-1,-5.0,-20.0,8.0,bearish,bearish,neutral
BOX,2023-12-05,S2,0.4131,bearish,-1,-2,0.0,-15.0,15.0,neutral,neutral,bearish
BOX,2024-03-05,S2,0.0405,bullish,-1,-1,3.0,-15.0,20.0,neutral,neutral,neutral
BOX,2024-05-28,S2,16.3812,bullish,1,2,4.0,-12.0,18.0,neutral,neutral,neutral
BOX,2024-08-27,S2,-2.7117,bullish,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
BOX,2024-12-03,S2,22.7098,bullish,-1,-1,5.0,-15.0,20.0,neutral,neutral,neutral
BOX,2025-03-04,S2,-10.3986,bearish,1,-1,5.0,-15.0,20.0,neutral,neutral,neutral
BOX,2025-05-27,S2,-33.4851,bearish,1,-1,5.0,-10.0,20.0,neutral,neutral,neutral
BOX,2025-08-26,S2,-35.9954,bearish,2,2,8.0,-8.0,22.0,neutral,neutral,neutral
BOX,2025-12-02,S2,-25.1121,bearish,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
CMCSA,2020-01-23,S1,-2.9425,neutral,2,2,6.0,-8.0,18.0,neutral,neutral,neutral
CMCSA,2020-04-30,S1,-0.246,neutral,2,1,5.0,-15.0,20.0,neutral,neutral,neutral
CMCSA,2020-07-30,S1,4.9077,neutral,1,1,5.0,-12.0,20.0,neutral,neutral,neutral
CMCSA,2020-10-29,S1,4.8832,neutral,2,1,6.0,-12.0,22.0,neutral,neutral,neutral
CMCSA,2021-01-28,S1,-1.844,neutral,2,2,7.0,-8.0,20.0,neutral,neutral,neutral
CMCSA,2021-04-29,S1,-17.399,bearish,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
CMCSA,2021-07-29,S1,-16.7341,bearish,3,3,8.0,-8.0,22.0,bullish,bullish,bullish
CMCSA,2021-10-28,S1,-12.0731,bearish,-1,-1,2.0,-12.0,16.0,neutral,neutral,neutral
CMCSA,2022-01-27,S1,-12.6176,bearish,-1,-1,-7.0,-20.0,8.0,bearish,neutral,neutral
CMCSA,2022-04-28,S1,-11.8208,bearish,-1,-1,-5.0,-20.0,10.0,neutral,neutral,neutral
CMCSA,2022-07-28,S1,9.4598,neutral,-1,-1,-5.0,-20.0,10.0,bearish,neutral,neutral
CMCSA,2022-10-27,S1,20.0279,bullish,2,2,4.0,-14.0,20.0,neutral,neutral,neutral
CMCSA,2023-01-26,S1,2.9814,neutral,1,1,4.0,-12.0,18.0,neutral,neutral,neutral
CMCSA,2023-04-27,S1,-4.5536,neutral,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
CMCSA,2023-07-27,S1,-6.7202,bearish,2,1,4.0,-12.0,18.0,neutral,neutral,neutral
CMCSA,2023-10-26,S1,-27.0644,bearish,1,1,5.0,-12.0,20.0,neutral,neutral,neutral
CMCSA,2024-01-25,S1,-27.8003,bearish,-1,-1,-5.0,-20.0,8.0,neutral,neutral,neutral
CMCSA,2024-04-25,S1,-5.9798,bearish,-2,-2,-6.0,-20.0,8.0,bearish,bearish,bearish
CMCSA,2024-07-23,S1,-14.3626,bearish,-1,-1,-8.0,-22.0,6.0,bearish,neutral,neutral
CMCSA,2024-10-31,S1,-20.1587,bearish,-1,-1,5.0,-12.0,20.0,neutral,neutral,neutral
CMCSA,2025-01-30,S1,-6.3056,neutral,-1,-2,-8.0,-25.0,8.0,bearish,neutral,bearish
CMCSA,2025-04-24,S1,-35.5654,bearish,-1,-1,-5.0,-20.0,10.0,neutral,neutral,neutral
CMCSA,2025-07-31,S1,-15.6942,bearish,1,1,5.0,-12.0,20.0,neutral,neutral,neutral
CMCSA,2025-10-30,S1,-1.732,neutral,-2,-2,-8.0,-25.0,8.0,bearish,bearish,bearish
CMI,2020-04-28,S3,17.688,bullish,-1,-1,5.0,-25.0,35.0,neutral,neutral,neutral
CMI,2020-07-28,S3,6.0593,bullish,-2,-1,2.0,-15.0,18.0,neutral,bearish,neutral
CMI,2020-10-27,S3,-7.1023,bearish,2,1,5.0,-12.0,20.0,neutral,neutral,neutral
CMI,2020-11-12,S3,-3.4194,neutral,1,-1,5.0,-15.0,25.0,neutral,neutral,neutral
CMI,2021-02-03,S3,-14.1046,bearish,2,3,8.0,-8.0,22.0,bullish,neutral,bullish
CMI,2021-05-04,S3,-18.2622,bearish,2,2,6.0,-12.0,20.0,neutral,neutral,neutral
CMI,2021-08-04,S3,-4.3176,bearish,1,-1,-5.0,-20.0,10.0,bearish,neutral,neutral
CMI,2021-11-17,S3,6.0822,neutral,1,1,5.0,-12.0,18.0,neutral,neutral,neutral
CMI,2022-02-03,S3,3.7323,neutral,1,2,0.0,-10.0,5.0,neutral,neutral,neutral
CMI,2022-08-02,S3,16.5118,bullish,1,-1,3.0,-12.0,18.0,neutral,neutral,neutral
CMI,2022-11-03,S3,-14.7453,bearish,1,1,3.0,-12.0,18.0,neutral,neutral,neutral
CMI,2023-02-06,S3,-14.2851,bearish,1,-1,2.0,-15.0,18.0,neutral,neutral,neutral
CMI,2023-05-02,S3,-6.1261,bearish,-1,1,4.0,-18.0,20.0,neutral,neutral,neutral
CMI,2023-08-03,S3,-6.7559,bearish,-1,-1,-5.0,-20.0,8.0,bearish,neutral,neutral
CMI,2023-11-02,S3,7.9064,bullish,-1,-1,-5.0,-20.0,8.0,neutral,neutral,neutral
CMI,2024-02-06,S3,12.9863,bullish,2,2,-3.0,-18.0,10.0,neutral,neutral,neutral
CMI,2024-05-02,S3,5.9664,neutral,2,2,5.0,-12.0,20.0,neutral,neutral,neutral
CMI,2024-08-01,S3,10.3366,bullish,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
CMI,2024-11-05,S3,-10.7442,bearish,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
CMI,2025-02-04,S3,-3.0332,neutral,2,2,7.0,-10.0,22.0,neutral,neutral,neutral
CMI,2025-05-05,S3,24.4281,bullish,-2,-2,-8.0,-25.0,10.0,bearish,bearish,bearish
CMI,2025-08-05,S3,48.9362,bullish,-1,-1,-5.0,-20.0,10.0,bearish,neutral,neutral
CMI,2025-11-06,S3,35.2352,bullish,1,2,6.0,-12.0,22.0,neutral,neutral,neutral
COF,2020-04-23,S3,14.9042,bullish,-2,-2,-5.0,-25.0,15.0,neutral,bearish,bearish
COF,2020-07-21,S3,60.3614,bullish,1,2,8.0,-20.0,35.0,bullish,neutral,neutral
COF,2020-10-22,S3,51.3057,bullish,1,-1,-5.0,-20.0,10.0,neutral,neutral,neutral
COF,2021-01-26,S3,41.0284,bullish,2,2,12.0,-8.0,30.0,bullish,neutral,neutral
COF,2021-04-27,S3,4.9555,bullish,2,1,5.0,-12.0,22.0,neutral,neutral,neutral
COF,2021-07-22,S3,-7.6761,bearish,3,2,8.0,-10.0,25.0,bullish,bullish,neutral
COF,2021-10-26,S3,-4.9559,bearish,2,-1,5.0,-12.0,20.0,neutral,neutral,neutral
COF,2022-01-25,S3,-16.7933,bearish,2,2,5.0,-15.0,20.0,neutral,neutral,neutral
COF,2022-04-26,S3,-10.5584,bearish,2,2,5.0,-15.0,20.0,neutral,neutral,neutral
COF,2022-07-21,S3,-8.484,bearish,2,2,8.0,-10.0,25.0,neutral,neutral,neutral
COF,2022-10-27,S3,-16.386,bearish,1,-1,4.0,-18.0,22.0,neutral,neutral,neutral
COF,2023-01-24,S3,-15.1215,bearish,-2,-2,-5.0,-20.0,10.0,bearish,bearish,bearish
COF,2023-04-27,S3,-7.1935,bearish,-1,-1,-3.0,-18.0,10.0,neutral,neutral,neutral
COF,2023-07-20,S3,2.7142,neutral,-2,-2,-5.0,-20.0,10.0,neutral,bearish,bearish
COF,2023-10-26,S3,26.7461,bullish,2,2,5.0,-15.0,25.0,neutral,neutral,neutral
COF,2024-01-25,S3,-3.7089,neutral,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
COF,2024-04-25,S3,-9.1435,bearish,1,-1,5.0,-15.0,25.0,neutral,neutral,neutral
COF,2024-07-23,S3,20.5429,bullish,1,2,4.0,-12.0,20.0,neutral,neutral,neutral
COF,2024-10-24,S3,20.3323,bullish,2,2,8.0,-12.0,25.0,bullish,neutral,neutral
COF,2025-01-21,S3,4.5099,bullish,2,2,5.0,-15.0,25.0,neutral,neutral,neutral
COF,2025-04-22,S3,-2.374,neutral,2,3,6.0,-15.0,25.0,neutral,neutral,bullish
COF,2025-07-22,S3,-2.619,neutral,-1,2,6.0,-12.0,22.0,neutral,neutral,neutral
COF,2025-10-21,S3,-13.546,bearish,3,2,8.0,-8.0,22.0,neutral,bullish,neutral
COST,2020-03-05,S1,-4.2418,neutral,2,3,8.0,-10.0,25.0,bullish,neutral,bullish
COST,2020-05-28,S1,6.406,bullish,3,3,4.0,-12.0,20.0,neutral,bullish,bullish
COST,2020-09-24,S1,-17.4496,bearish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
COST,2020-12-10,S1,-13.5369,bearish,2,2,3.0,-12.0,18.0,neutral,neutral,neutral
COST,2021-03-04,S1,27.1377,bullish,3,3,4.0,-12.0,18.0,neutral,bullish,bullish
COST,2021-05-27,S1,35.1075,bullish,3,2,3.0,-12.0,18.0,neutral,bullish,neutral
COST,2021-09-23,S1,17.8357,bullish,1,1,5.0,-10.0,20.0,neutral,neutral,neutral
COST,2021-12-09,S1,-0.8059,neutral,2,2,3.0,-12.0,18.0,neutral,neutral,neutral
COST,2022-03-03,S1,8.9706,bullish,3,2,6.0,-10.0,20.0,neutral,bullish,neutral
COST,2022-05-26,S1,16.4751,bullish,1,1,-5.0,-20.0,8.0,bearish,neutral,neutral
COST,2022-09-22,S1,-2.2744,neutral,2,2,8.0,-10.0,25.0,bullish,neutral,neutral
COST,2022-12-08,S1,-1.441,neutral,2,-1,5.0,-10.0,20.0,neutral,neutral,neutral
COST,2023-03-02,S1,4.1543,neutral,2,3,4.0,-12.0,20.0,neutral,neutral,bullish
COST,2023-05-25,S1,8.1797,bullish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
COST,2023-09-26,S1,7.9424,bullish,2,2,5.0,-15.0,25.0,neutral,neutral,neutral
COST,2023-12-14,S1,12.8257,bullish,2,1,4.0,-12.0,20.0,neutral,neutral,neutral
