ticker,call_date,stratum,v6_dir,b_score,b_dir_plus3,gt_old_ruler,fwd_rel_ret_tradeable
EOG,2020-02-28,S3,bullish,1,neutral,bearish,-39.9107
EOG,2020-11-06,S3,bullish,2,neutral,bullish,87.0977
EOG,2022-08-05,S3,bullish,2,neutral,bullish,16.4158
EOG,2022-11-04,S3,bullish,2,neutral,bearish,-30.3704
EOG,2023-02-24,S3,bullish,2,neutral,neutral,0.1248
EOG,2023-05-05,S3,bullish,2,neutral,bullish,6.749
EOG,2023-08-04,S3,bullish,2,neutral,bearish,-22.8299
EOG,2024-02-23,S3,bullish,2,neutral,neutral,2.1579
EOG,2024-05-03,S3,bullish,2,neutral,bearish,-17.9327
EOG,2024-08-02,S3,bullish,2,neutral,bearish,-14.1521
EOG,2024-11-08,S3,bullish,2,neutral,bearish,-10.7654
EOG,2025-02-28,S3,bullish,1,neutral,bearish,-6.9466
EOG,2025-11-07,S3,bullish,2,neutral,bullish,13.7694
ETN,2021-02-02,S3,bullish,2,neutral,bullish,20.6674
ETN,2021-08-03,S3,neutral,3,bullish,neutral,-4.6901
ETN,2021-11-02,S3,neutral,3,bullish,neutral,-3.1151
ETN,2022-02-04,S3,bullish,2,neutral,bullish,6.5691
ETN,2024-02-01,S3,neutral,3,bullish,neutral,0.4419
ETN,2024-04-30,S3,neutral,4,bullish,bearish,-5.5301
ETN,2025-05-02,S3,,1,neutral,bullish,6.7538
ETN,2025-08-05,S3,neutral,3,bullish,bearish,-7.7482
EXC,2021-05-05,S3,neutral,-2,bearish,bullish,10.6222
EXC,2023-11-02,S3,neutral,-2,bearish,bearish,-22.7645
EXC,2025-02-12,S3,bullish,2,neutral,neutral,-0.507
EXC,2025-05-01,S3,bullish,2,neutral,bearish,-18.6809
FCX,2020-05-24,S3,bullish,2,neutral,bullish,117.0892
FCX,2024-01-24,S3,neutral,3,bullish,neutral,1.1173
FCX,2025-04-24,S3,neutral,3,bullish,bearish,-11.608
FCX,2025-11-18,S3,neutral,-2,bearish,bullish,31.5731
GIS,2020-03-18,S3,neutral,3,bullish,bearish,-31.4308
GIS,2021-06-30,S3,neutral,-2,bearish,neutral,0.361
GIS,2023-09-20,S3,bearish,-1,neutral,bearish,-14.6195
GIS,2023-12-20,S3,neutral,-2,bearish,bearish,-11.8559
GIS,2024-12-18,S3,neutral,-2,bearish,bearish,-19.1978
GOOG,2020-04-28,S5,neutral,-2,bearish,bullish,4.238
GOOG,2021-04-27,S5,bullish,2,neutral,bullish,8.1377
GOOG,2021-07-27,S5,bullish,2,neutral,bearish,-6.0793
GOOG,2021-10-26,S5,bullish,2,neutral,bearish,-10.0496
GOOG,2022-02-01,S5,bullish,-2,bearish,bearish,-10.9312
GOOG,2022-04-26,S5,neutral,-2,bearish,neutral,-1.02
GOOG,2022-10-25,S5,neutral,-2,bearish,bearish,4.0267
GOOG,2023-07-25,S5,bullish,2,neutral,bullish,8.2258
GOOG,2024-01-30,S5,bullish,2,neutral,neutral,8.9557
GOOG,2025-04-24,S5,bullish,2,neutral,bullish,32.8588
GOOG,2025-07-23,S5,bullish,2,neutral,bullish,61.9333
GOOG,2025-10-29,S5,neutral,3,bullish,bullish,18.533
GS,2021-11-06,S1,bullish,2,neutral,bearish,-9.265
GS,2023-01-17,S1,neutral,-2,bearish,bearish,-19.4017
GS,2024-01-16,S1,bullish,2,neutral,bullish,13.7631
GS,2025-04-14,S1,bullish,2,neutral,bullish,31.5805
HRL,2022-06-02,S3,neutral,-2,bearish,bullish,6.244
HRL,2022-11-30,S3,bearish,-1,neutral,bearish,-22.1961
HRL,2025-02-27,S3,bearish,-1,neutral,bearish,-21.1233
HRL,2025-12-04,S3,bearish,-1,neutral,bearish,-14.7268
KHC,2023-11-01,S3,neutral,-2,bearish,bearish,-7.889
KHC,2024-02-14,S3,bearish,-1,neutral,bearish,-9.6872
KHC,2024-05-01,S3,neutral,-2,bearish,bearish,-22.9893
KHC,2024-07-31,S3,bearish,-1,neutral,bearish,-27.0432
KO,2021-07-21,S1,bullish,2,neutral,neutral,4.2811
KO,2022-07-26,S1,bullish,1,neutral,bearish,-3.6947
LMT,2020-01-28,S1,neutral,3,bullish,bearish,-9.2064
LMT,2021-01-26,S1,bullish,2,neutral,neutral,-4.5565
LMT,2021-10-26,S1,neutral,-2,bearish,bullish,43.1307
LMT,2023-07-18,S1,bullish,2,neutral,neutral,-2.9324
LMT,2024-01-23,S1,neutral,-2,bearish,neutral,2.0437
LMT,2025-04-22,S1,bullish,2,neutral,bearish,-19.7782
LRCX,2020-10-21,S2,bullish,2,neutral,bullish,58.3786
LRCX,2021-07-28,S2,bullish,2,neutral,neutral,-2.0556
LRCX,2022-10-19,S2,neutral,-2,bearish,bullish,24.6416
LRCX,2023-01-25,S2,neutral,-2,bearish,bullish,16.5137
LRCX,2024-04-24,S2,bullish,-1,neutral,bearish,-33.9732
LRCX,2024-07-31,S2,bullish,1,neutral,bearish,-20.3223
LRCX,2025-01-29,S2,bullish,2,neutral,bullish,17.88
LRCX,2025-07-30,S2,bullish,1,neutral,bullish,142.594
LRCX,2025-10-22,S2,bullish,-1,neutral,bullish,74.1125
MCD,2020-04-30,S1,neutral,-2,bearish,neutral,0.9904
MCD,2021-04-29,S1,neutral,3,bullish,neutral,-5.8397
MCD,2021-07-29,S1,bullish,2,neutral,neutral,4.1423
MCD,2022-10-27,S1,bullish,2,neutral,neutral,1.3458
MCD,2023-01-31,S1,bullish,1,neutral,neutral,-1.8059
MCD,2023-04-25,S1,bullish,2,neutral,bearish,-15.9783
MCD,2024-10-29,S1,neutral,-2,bearish,bullish,12.3121
MCHP,2022-05-09,S2,bullish,2,neutral,bullish,0.8106
MCHP,2023-08-03,S2,neutral,-2,bearish,bearish,-6.8632
MCHP,2023-11-02,S2,neutral,-3,bearish,neutral,0.8666
MCHP,2024-11-05,S2,neutral,-3,bearish,bearish,-30.491
MO,2020-01-30,S3,bearish,-1,neutral,bearish,-13.2115
MO,2020-04-30,S3,neutral,-2,bearish,bearish,-19.4306
MO,2021-07-29,S3,bearish,-1,neutral,bullish,6.4456
MO,2022-10-27,S3,neutral,-2,bearish,neutral,-4.1123
MO,2023-10-26,S3,neutral,-2,bearish,bearish,-11.8103
MO,2024-02-01,S3,neutral,-2,bearish,bullish,11.0949
MO,2024-10-31,S3,bearish,-1,neutral,bullish,12.2996
MPWR,2020-10-29,S2,bullish,-1,neutral,bearish,-12.5227
MPWR,2021-05-04,S2,neutral,3,bullish,bullish,47.558
MPWR,2022-10-27,S2,neutral,-2,bearish,bullish,23.3444
MPWR,2023-05-04,S2,neutral,-2,bearish,neutral,10.3046
MPWR,2023-07-31,S2,bearish,-1,neutral,neutral,5.0065
MPWR,2024-02-07,S2,bullish,1,neutral,bullish,-1.3723
MPWR,2025-02-06,S2,bullish,1,neutral,bullish,5.5466
NEE,2020-07-24,S3,bullish,2,neutral,neutral,2.8689
NEE,2020-10-21,S3,neutral,3,bullish,bearish,-17.5572
NEE,2021-04-21,S3,bullish,2,neutral,neutral,-2.5862
NEE,2021-07-23,S3,bullish,2,neutral,bullish,8.0876
NEE,2021-10-20,S3,bullish,2,neutral,neutral,-0.7866
NEE,2023-04-25,S3,bullish,2,neutral,bearish,-30.3495
NEE,2023-07-25,S3,bullish,2,neutral,bearish,-29.2886
NEE,2024-07-24,S3,bullish,1,neutral,bearish,-19.3755
NEE,2024-10-23,S3,bullish,2,neutral,bearish,-11.2008
NEE,2025-07-23,S3,bullish,2,neutral,bullish,8.4712
NEE,2025-10-28,S3,bullish,2,neutral,bullish,14.5055
NFLX,2020-04-21,S1,neutral,-2,bearish,neutral,1.6473
NFLX,2020-10-20,S1,bullish,2,neutral,bearish,-7.8858
NFLX,2022-01-20,S1,neutral,-2,bearish,bearish,-34.7301
NFLX,2023-10-18,S1,bullish,2,neutral,bullish,35.3651
NFLX,2024-04-18,S1,bullish,2,neutral,neutral,6.2835
NFLX,2025-04-17,S1,bullish,2,neutral,neutral,-8.7517
NFLX,2025-10-21,S1,bullish,2,neutral,bearish,-22.5033
ORCL,2020-06-16,S5,bullish,2,neutral,neutral,1.4823
ORCL,2020-09-10,S5,bullish,2,neutral,neutral,0.461
ORCL,2021-03-10,S5,bullish,2,neutral,bullish,18.1443
ORCL,2021-06-15,S5,bullish,2,neutral,bullish,19.8203
PFE,2020-04-28,S1,neutral,3,bullish,bearish,-17.161
PFE,2020-07-28,S1,neutral,3,bullish,bearish,-17.8808
PFE,2020-10-27,S1,bullish,2,neutral,bearish,-13.4953
PFE,2021-11-02,S1,bullish,2,neutral,bullish,20.3752
PFE,2022-05-03,S1,bullish,2,neutral,bullish,7.0582
PFE,2022-11-01,S1,neutral,-2,bearish,bearish,-26.6125
PFE,2023-01-31,S1,bullish,-2,bearish,bearish,-30.1327
PFE,2023-05-02,S1,neutral,-2,bearish,bearish,-23.0151
PFE,2023-08-01,S1,neutral,-2,bearish,bearish,-32.6195
PFE,2023-10-31,S1,neutral,-2,bearish,bearish,-34.7944
PFE,2024-01-30,S1,neutral,-2,bearish,bullish,3.6726
PLD,2020-04-21,S3,neutral,3,bullish,bearish,-5.2094
PLD,2022-04-19,S3,neutral,4,bullish,bearish,-22.1525
PLD,2024-01-17,S3,neutral,3,bullish,bearish,-19.2995
PLD,2024-07-17,S3,bullish,2,neutral,bearish,-19.3048
PM,2020-10-20,S3,bullish,1,neutral,bullish,7.0759
PM,2021-04-20,S3,bullish,2,neutral,bearish,-6.61
PM,2021-07-20,S3,bullish,2,neutral,neutral,0.3271
PM,2022-02-10,S3,bullish,2,neutral,neutral,-3.2166
PM,2022-04-21,S3,bullish,2,neutral,neutral,-2.9663
PM,2022-10-20,S3,bullish,1,neutral,neutral,1.7475
PM,2023-04-20,S3,bullish,2,neutral,bearish,-10.6528
PM,2023-07-20,S3,bullish,2,neutral,bearish,-9.8163
PM,2025-02-06,S3,bullish,2,neutral,bullish,11.2132
PNC,2022-04-14,S3,bullish,2,neutral,neutral,3.4779
PNC,2022-07-15,S3,bullish,2,neutral,neutral,1.6992
PNC,2023-07-18,S3,neutral,-2,bearish,bullish,8.244
PNC,2024-10-15,S3,bullish,2,neutral,bearish,-10.5109
PNC,2025-01-16,S3,bullish,2,neutral,bearish,-6.3816
PNC,2025-07-16,S3,bullish,2,neutral,neutral,-1.5909
PNC,2025-10-15,S3,bullish,2,neutral,bullish,18.5453
PPG,2020-04-28,S3,neutral,-2,bearish,bullish,17.5132
PPG,2020-10-20,S3,bullish,2,neutral,bullish,5.8303
PPG,2021-07-20,S3,bearish,-1,neutral,neutral,-2.5328
PPG,2021-10-21,S3,neutral,-2,bearish,bearish,-14.3427
PPG,2022-01-21,S3,neutral,-2,bearish,bearish,-7.4353
PPG,2025-10-29,S3,neutral,-2,bearish,neutral,2.7592
PSA,2020-05-01,S3,neutral,-2,bearish,bullish,11.3419
PSA,2022-08-04,S3,bullish,2,neutral,bearish,-6.7607
PSA,2022-11-02,S3,bullish,2,neutral,bearish,-7.9369
PSA,2023-05-04,S3,bullish,2,neutral,bearish,-20.4966
PSA,2024-07-31,S3,bearish,-1,neutral,bearish,-12.768
PSA,2025-07-31,S3,bullish,1,neutral,bearish,-12.1486
PYPL,2020-01-29,S2,bullish,2,neutral,bullish,58.3974
PYPL,2021-02-03,S2,bullish,1,neutral,bearish,-11.7946
PYPL,2021-05-05,S2,bullish,2,neutral,bearish,-19.4798
PYPL,2021-07-28,S2,bullish,2,neutral,bearish,-42.9135
PYPL,2021-11-08,S2,neutral,-2,bearish,bearish,-46.4761
PYPL,2022-08-02,S2,neutral,3,bullish,bearish,-14.856
PYPL,2025-04-29,S2,bullish,2,neutral,bearish,-12.9921
PYPL,2025-07-29,S2,bullish,1,neutral,bearish,-29.9893
PYPL,2025-10-28,S2,bullish,-1,neutral,bearish,-32.2952
RTX,2020-05-07,S1,neutral,-2,bearish,bearish,-20.4295
RTX,2022-07-26,S1,bearish,-1,neutral,bullish,10.4011
RTX,2022-10-25,S1,bearish,1,neutral,bullish,5.3789
RTX,2023-07-25,S1,neutral,-2,bearish,neutral,-2.6774
RTX,2023-10-24,S1,neutral,-2,bearish,bullish,8.1955
RTX,2024-01-23,S1,bearish,-1,neutral,neutral,3.2083
RTX,2024-10-22,S1,bullish,2,neutral,neutral,-1.8022
RTX,2025-01-28,S1,bullish,2,neutral,bullish,20.0072
RTX,2025-07-22,S1,bullish,2,neutral,bullish,18.6392
SBUX,2020-04-28,S1,neutral,-2,bearish,neutral,1.8103
SBUX,2020-10-29,S1,neutral,3,bullish,neutral,3.1796
SBUX,2021-07-27,S1,neutral,3,bullish,bearish,-19.7564
SBUX,2022-02-01,S1,neutral,-2,bearish,bearish,-3.5683
SBUX,2022-11-03,S1,bullish,-1,neutral,bullish,6.3524
SBUX,2025-04-29,S1,neutral,-2,bearish,bearish,-17.1765
SEDG,2021-02-16,S2,bullish,2,neutral,bearish,-33.0106
SEDG,2021-08-02,S2,bullish,-1,neutral,bearish,-22.5287
SEDG,2021-11-02,S2,neutral,-2,bearish,bearish,-15.1852
SEDG,2022-08-02,S2,bearish,-1,neutral,bearish,9.9123
SLB,2020-04-17,S3,neutral,-3,bearish,bearish,-24.9097
SLB,2020-07-24,S3,bullish,2,neutral,bullish,5.5765
SLB,2021-04-23,S3,bullish,2,neutral,bullish,20.0899
SLB,2022-04-22,S3,bullish,2,neutral,bullish,42.9452
SLB,2023-07-21,S3,bullish,2,neutral,bearish,-19.1582
SLB,2024-01-19,S3,bullish,2,neutral,bearish,-15.5496
SLB,2024-07-19,S3,bullish,2,neutral,bearish,-19.5928
SNOW,2022-03-02,S2,bullish,-2,bearish,bearish,-9.9239
SNOW,2022-05-25,S2,neutral,-2,bearish,bullish,16.2099
SNOW,2023-03-01,S2,neutral,-2,bearish,bearish,1.4553
SNOW,2023-11-29,S2,neutral,3,bullish,bearish,-36.3128
SNOW,2024-02-28,S2,neutral,-2,bearish,bearish,-50.6321
SNOW,2024-05-22,S2,bullish,1,neutral,bearish,-28.7413
SNOW,2024-08-21,S2,bullish,2,neutral,bullish,51.7348
SNOW,2025-02-26,S2,bullish,2,neutral,bullish,4.8466
SNOW,2025-05-21,S2,bullish,2,neutral,bullish,10.8692
SRE,2022-11-03,S3,bullish,2,neutral,bearish,-8.5126
SRE,2023-02-28,S3,bullish,2,neutral,bearish,-16.7891
SRE,2023-05-04,S3,bullish,2,neutral,bearish,-11.3393
SRE,2024-02-27,S3,bullish,2,neutral,neutral,4.6138
SRE,2024-11-06,S3,neutral,3,bullish,bearish,-9.7001
SRE,2025-02-25,S3,neutral,-2,bearish,bullish,3.7439
SRE,2025-08-07,S3,bullish,2,neutral,neutral,-0.2887
SWKS,2021-04-29,S2,bullish,1,neutral,bearish,-16.1664
SWKS,2023-05-08,S2,neutral,-2,bearish,bearish,-15.8631
T,2020-04-22,S1,neutral,-2,bearish,bearish,-32.2308
T,2025-07-23,S1,bullish,2,neutral,bearish,-23.8666
TSLA,2021-10-20,S5,bullish,2,neutral,bullish,11.2642
TSLA,2022-01-27,S5,bullish,1,neutral,bullish,7.6873
TSLA,2022-04-20,S5,bullish,-1,neutral,bearish,-18.0887
TSLA,2022-10-19,S5,bullish,-1,neutral,bearish,-26.212
TSLA,2023-10-18,S5,neutral,-2,bearish,bearish,-46.7577
TSLA,2024-01-24,S5,neutral,-2,bearish,bearish,7.3655
TSLA,2024-04-23,S5,bearish,1,neutral,bullish,19.0263
TSLA,2024-10-23,S5,neutral,3,bullish,bullish,3.8258
TSLA,2025-07-23,S5,neutral,-2,bearish,bullish,33.2811
VLO,2020-07-30,S3,neutral,-2,bearish,bearish,-11.9183
VLO,2021-01-28,S3,bullish,2,neutral,neutral,0.7933
VLO,2023-04-27,S3,bullish,2,neutral,bullish,10.135
VLO,2025-10-23,S3,bullish,2,neutral,bullish,32.0959
VZ,2022-04-22,S1,neutral,-2,bearish,bearish,-17.0406
VZ,2022-10-21,S1,neutral,-2,bearish,neutral,-5.0441
VZ,2023-01-25,S1,neutral,-2,bearish,bearish,-27.2667
VZ,2025-04-22,S1,bearish,1,neutral,bearish,-30.9969
WDAY,2021-02-25,S2,bullish,-1,neutral,bearish,-16.6813
WDAY,2021-05-26,S2,bullish,2,neutral,bullish,9.1991
WDAY,2021-11-18,S2,bullish,2,neutral,bearish,-25.6559
WDAY,2022-02-28,S2,bullish,2,neutral,bearish,-26.6938
WDAY,2022-05-26,S2,neutral,-2,bearish,bearish,-3.0643
WDAY,2023-08-24,S2,bullish,2,neutral,bullish,14.0431
WDAY,2023-11-28,S2,bullish,2,neutral,bearish,-34.7776
WDAY,2024-11-26,S2,neutral,-2,bearish,bearish,-4.2818
WDAY,2025-08-21,S2,bullish,2,neutral,bearish,-42.7898
WEC,2020-11-03,S3,bullish,2,neutral,bearish,-24.8613
WEC,2021-02-04,S3,bullish,2,neutral,neutral,-2.8144
WEC,2021-11-02,S3,bullish,2,neutral,bullish,21.1842
WEC,2023-10-31,S3,bullish,2,neutral,bearish,-18.67
WEC,2025-05-06,S3,bullish,1,neutral,bearish,-18.2789
WEC,2025-07-30,S3,bullish,2,neutral,bearish,-9.1408
WEC,2025-10-30,S3,bullish,2,neutral,neutral,0.1919
WFC,2020-01-14,S3,neutral,-2,bearish,bearish,-46.9892
WFC,2020-04-14,S3,neutral,-2,bearish,bearish,-39.0647
WFC,2021-07-14,S3,neutral,3,bullish,bullish,16.9906
WFC,2022-01-14,S3,neutral,3,bullish,bearish,-11.8152
WFC,2022-04-14,S3,neutral,3,bullish,bullish,6.2847
WFC,2025-01-15,S3,bullish,2,neutral,neutral,-0.2928
WFC,2025-07-15,S3,bullish,2,neutral,bullish,5.9398
ZTS,2020-08-06,S3,neutral,3,bullish,bearish,-16.5302
ZTS,2020-11-06,S3,bullish,-1,neutral,bearish,-15.2108
ZTS,2021-05-06,S3,bullish,2,neutral,bullish,16.3319
ZTS,2022-02-15,S3,bullish,2,neutral,bearish,-8.1591
ZTS,2022-08-04,S3,bullish,2,neutral,neutral,-2.868
ZTS,2023-02-14,S3,bullish,-1,neutral,neutral,1.0899
ZTS,2023-11-02,S3,bullish,2,neutral,bearish,-13.0996
ZTS,2024-02-13,S3,bullish,2,neutral,bearish,-6.383
ZTS,2024-05-02,S3,bullish,2,neutral,bearish,-4.2077
