split,ticker,date,pred,mD,m1
train,BMY,2023-07-27,neutral,-0.03563,0.00141
train,BMY,2023-10-26,bearish,-0.05232,-0.03228
train,BMY,2024-02-02,neutral,-0.00971,-0.01135
train,BMY,2024-04-25,neutral,-0.08134,-0.00612
train,BMY,2024-07-26,neutral,0.10322,-0.02973
train,BMY,2024-10-31,neutral,0.07866,-0.03022
train,BMY,2025-02-06,neutral,-0.04183,-0.00077
train,BMY,2025-04-24,neutral,-0.01775,-0.02345
train,BMY,2025-07-31,neutral,-0.05432,0.03763
train,BMY,2025-10-30,neutral,0.08189,0.00658
train,BOX,2020-12-01,bearish,-0.01896,-0.09002
train,BOX,2021-03-02,neutral,-0.00431,0.00898
train,BOX,2021-05-27,neutral,-0.01347,0.01745
train,BOX,2021-08-25,bullish,-0.01099,-0.0136
train,BOX,2021-11-30,bullish,-0.01199,0.11363
train,BOX,2022-03-02,bullish,0.00846,0.02613
train,BOX,2022-05-25,bullish,0.01554,0.03489
train,BOX,2022-08-24,neutral,-0.00729,-0.04829
train,BOX,2022-11-30,neutral,-0.02342,0.06522
train,BOX,2023-03-01,neutral,0.01073,-0.13702
train,BOX,2023-05-30,neutral,0.00971,0.0109
train,BOX,2023-08-29,neutral,-0.00561,-0.12717
train,BOX,2023-12-05,neutral,0.00737,-0.09788
train,BOX,2024-03-05,neutral,-0.0126,0.08117
train,BOX,2024-05-28,neutral,-0.0098,0.09326
train,BOX,2024-08-27,neutral,0.00421,0.11406
train,BOX,2024-12-03,neutral,-0.02012,-0.0832
train,BOX,2025-03-04,neutral,0.03351,-0.04302
train,BOX,2025-05-27,neutral,-0.00921,0.17812
train,BOX,2025-08-26,bullish,-0.01246,0.03944
train,BOX,2025-12-02,bullish,0.02574,0.06316
train,CMCSA,2020-01-23,bullish,-0.03888,-0.01433
train,CMCSA,2020-04-30,neutral,-0.02582,0.0092
train,CMCSA,2020-07-30,neutral,-0.00167,-0.02782
train,CMCSA,2020-10-29,neutral,0.01556,-0.00862
train,CMCSA,2021-01-28,neutral,0.05707,-0.01932
train,CMCSA,2021-04-29,bullish,0.03614,0.00214
train,CMCSA,2021-07-29,bullish,-0.00191,0.01725
train,CMCSA,2021-10-28,neutral,-0.01995,-0.01108
train,CMCSA,2022-01-27,bullish,-0.00435,0.01078
train,CMCSA,2022-04-28,neutral,-0.08713,-0.00957
train,CMCSA,2022-07-28,neutral,-0.10385,-0.06254
train,CMCSA,2022-10-27,neutral,0.02026,-0.02441
train,CMCSA,2023-01-26,neutral,-0.00326,-0.02234
train,CMCSA,2023-04-27,neutral,0.08277,0.01878
train,CMCSA,2023-07-27,neutral,0.06349,-0.01243
train,CMCSA,2023-10-26,neutral,-0.07223,0.01705
train,CMCSA,2024-01-25,neutral,0.02812,0.02314
train,CMCSA,2024-04-25,neutral,-0.0544,0.00901
train,CMCSA,2024-07-23,neutral,-0.02424,0.01176
train,CMCSA,2024-10-31,neutral,0.05346,-0.00674
train,CMCSA,2025-01-30,neutral,-0.11538,0.01765
train,CMCSA,2025-04-24,neutral,-0.05818,0.01417
train,CMCSA,2025-07-31,neutral,0.02621,-0.00498
train,CMCSA,2025-10-30,neutral,-0.03141,0.01575
train,CMI,2020-04-28,neutral,0.06825,-0.0006
train,CMI,2020-07-28,neutral,0.0276,0.00749
train,CMI,2020-10-27,neutral,-0.00063,0.00601
train,CMI,2020-11-12,neutral,0.00221,0.00078
train,CMI,2021-02-03,bullish,0.00623,-0.02606
train,CMI,2021-05-04,neutral,0.01402,0.02066
train,CMI,2021-08-04,neutral,-0.00358,-0.01845
train,CMI,2021-11-17,neutral,-0.01257,-0.01974
train,CMI,2022-02-03,neutral,0.02695,0.00124
train,CMI,2022-08-02,neutral,0.01013,-0.0195
train,CMI,2022-11-03,neutral,-0.02489,0.00971
train,CMI,2023-02-06,neutral,-0.01423,-0.01005
train,CMI,2023-05-02,bullish,-0.01835,-0.00715
train,CMI,2023-08-03,neutral,-0.0718,-0.02074
train,CMI,2023-11-02,neutral,-0.01967,0.02731
train,CMI,2024-02-06,neutral,0.04036,-0.02198
train,CMI,2024-05-02,neutral,-0.02196,-0.01079
train,CMI,2024-08-01,bullish,0.06313,-0.03277
train,CMI,2024-11-05,bullish,0.07648,-0.02049
train,CMI,2025-02-04,bullish,0.03723,0.01355
train,CMI,2025-05-05,neutral,0.01391,-0.00474
train,CMI,2025-08-05,neutral,0.03726,0.01498
train,CMI,2025-11-06,neutral,0.06451,0.02179
train,COF,2020-04-23,neutral,0.02123,0.05335
train,COF,2020-07-21,neutral,0.03124,0.01308
train,COF,2020-10-22,neutral,0.03562,0.01276
train,COF,2021-01-26,neutral,-0.0238,0.05206
train,COF,2021-04-27,neutral,0.00499,0.03922
train,COF,2021-07-22,bullish,-0.013,-0.01865
train,COF,2021-10-26,bullish,-0.02361,-0.07049
train,COF,2022-01-25,bullish,0.03824,-0.0452
train,COF,2022-04-26,neutral,-0.00204,-0.0624
train,COF,2022-07-21,neutral,-0.01445,-0.03745
train,COF,2022-10-27,neutral,0.0074,0.02487
train,COF,2023-01-24,neutral,-0.00462,0.08957
train,COF,2023-04-27,bullish,-0.00328,0.00511
train,COF,2023-07-20,neutral,-0.01854,0.00504
train,COF,2023-10-26,neutral,0.01804,0.09648
train,COF,2024-01-25,neutral,0.0057,0.04782
train,COF,2024-04-25,neutral,-0.01568,-0.00783
train,COF,2024-07-23,neutral,0.00426,0.02892
train,COF,2024-10-24,neutral,-0.00858,0.05261
train,COF,2025-01-21,bullish,0.00258,0.03434
train,COF,2025-04-22,bullish,0.0045,0.02128
train,COF,2025-07-22,neutral,0.00699,0.00088
train,COF,2025-10-21,bullish,0.01016,0.02054
train,COST,2020-03-05,bullish,0.01772,0.00253
train,COST,2020-05-28,neutral,0.01345,-0.00798
train,COST,2020-09-24,bullish,0.00421,-0.0289
train,COST,2020-12-10,bullish,-0.00368,0.00737
train,COST,2021-03-04,neutral,-0.00269,-0.02379
train,COST,2021-05-27,neutral,0.00435,-0.02561
train,COST,2021-09-23,neutral,-0.01116,0.03142
train,COST,2021-12-09,bullish,-0.00415,0.05637
train,COST,2022-03-03,bullish,0.01454,-0.00604
train,COST,2022-05-26,neutral,0.03655,-0.01214
train,COST,2022-09-22,neutral,-0.00357,-0.02588
train,COST,2022-12-08,neutral,-0.00898,0.01079
train,COST,2023-03-02,neutral,0.00689,-0.03751
train,COST,2023-05-25,neutral,-0.00081,0.02961
train,COST,2023-09-26,neutral,0.00456,0.01872
train,COST,2023-12-14,bullish,-0.02069,0.05013
train,COST,2024-03-07,neutral,0.00605,-0.07041
train,COST,2024-05-30,neutral,0.01757,-0.01579
train,COST,2024-09-26,bullish,-0.01165,-0.0161
train,COST,2024-12-12,neutral,-0.00118,0.00117
train,COST,2025-03-06,bullish,-0.00242,-0.0663
train,COST,2025-05-29,bullish,-0.00829,0.03229
train,COST,2025-09-25,neutral,0.00254,-0.03473
train,COST,2025-12-11,bullish,0.00919,0.01074
train,DD,2020-01-30,bearish,-0.0894,-0.01105
train,DD,2020-05-05,neutral,-0.00991,-0.00777
train,DD,2020-07-31,neutral,-0.01311,-0.02602
train,DD,2020-10-29,neutral,0.0265,-0.00821
train,DD,2021-02-09,neutral,-0.02956,-0.04244
train,DD,2021-05-04,bullish,0.02175,0.01755
train,DD,2021-08-03,neutral,-0.01162,0.00317
train,DD,2021-11-02,bullish,0.08384,0.02822
train,DD,2022-02-08,neutral,0.05493,0.00234
train,DD,2022-05-03,neutral,0.0027,0.0057
train,DD,2022-08-02,neutral,-0.02048,-0.02283
train,DD,2022-11-08,neutral,0.06814,0.03192
train,DD,2023-02-07,neutral,0.06196,-0.00051
train,DD,2023-05-02,neutral,-0.05146,-0.00282
train,DD,2023-08-02,neutral,0.00534,0.01268
train,DD,2023-11-01,neutral,-0.09244,-0.00108
train,DD,2024-02-06,neutral,0.0711,0.00292
train,DD,2024-05-01,neutral,0.08339,-0.01651
train,DD,2024-07-31,bullish,0.02466,0.00174
train,DD,2024-11-05,bullish,0.03458,-0.04051
train,DD,2025-02-11,bullish,0.06769,0.00666
train,DD,2025-05-02,bullish,0.00332,-0.02311
train,DD,2025-08-05,neutral,0.0289,-0.03245
train,DD,2025-11-06,neutral,-0.00138,0.01562
train,DIOD,2021-02-16,bullish,-0.00352,0.00173
train,DIOD,2021-05-06,bullish,-0.0117,0.02355
train,DIOD,2021-08-05,bullish,0.00524,0.02822
train,DIOD,2021-11-03,bullish,-0.01913,0.05373
train,DIOD,2022-02-09,bullish,0.019,-0.02129
train,DIOD,2022-05-04,bullish,0.0245,-0.01878
train,DIOD,2022-08-04,bullish,-0.00717,-0.02022
train,DIOD,2022-11-07,bullish,0.01488,0.0271
train,DIOD,2023-02-06,bullish,-0.02075,0.02817
train,DIOD,2023-05-09,neutral,-0.01566,0.0469
train,DIOD,2023-08-08,neutral,-0.01479,-0.04553
train,DIOD,2023-11-08,bearish,-0.02156,-0.08238
train,DIOD,2024-02-06,neutral,0.00866,-0.03003
train,DIOD,2024-05-09,bearish,0.01986,-0.09479
train,DIOD,2024-08-08,neutral,-0.00484,0.07037
train,DIOD,2024-11-07,neutral,-0.02909,0.01876
train,DIOD,2025-02-11,neutral,-0.04429,0.03421
train,DIOD,2025-05-08,neutral,0.01139,0.12199
train,DIOD,2025-08-07,neutral,-0.01911,0.07149
train,DIOD,2025-11-06,neutral,-0.00053,-0.14616
train,DOW,2020-01-19,neutral,-0.01192,-0.03301
train,DOW,2020-04-30,neutral,-0.01151,-0.04875
train,DOW,2020-07-23,neutral,-0.02235,0.00154
train,DOW,2020-10-22,neutral,8e-05,-0.00934
train,DOW,2021-01-28,bullish,-0.00878,-0.02559
train,DOW,2021-04-22,bullish,-0.05088,0.00852
train,DOW,2021-07-22,bullish,0.01046,-0.01641
train,DOW,2022-01-27,neutral,0.05667,-0.02716
train,DOW,2022-04-21,neutral,0.04412,0.01291
train,DOW,2022-07-21,neutral,-0.03207,-0.00142
train,DOW,2022-10-20,neutral,0.00395,0.01888
train,DOW,2023-01-26,neutral,-0.00702,0.01233
train,DOW,2023-04-25,neutral,-0.0363,0.00576
train,DOW,2023-07-25,neutral,0.01497,0.00396
train,DOW,2023-10-24,neutral,0.01319,-0.02017
train,DOW,2024-01-25,neutral,0.02941,-0.01475
train,DOW,2024-04-25,neutral,-0.00568,0.00559
train,DOW,2024-07-25,neutral,-0.0036,-0.01101
train,DOW,2024-10-24,neutral,-0.01187,-0.02495
train,DOW,2025-01-30,bearish,-0.06627,0.01829
train,DOW,2025-04-24,bearish,0.00516,0.00151
train,DOW,2025-07-24,bearish,-0.17485,0.01333
train,DOW,2025-10-23,neutral,0.12356,0.00407
train,DUK,2020-02-13,neutral,0.02343,0.01009
train,DUK,2020-05-12,neutral,0.02263,0.01781
train,DUK,2020-08-10,neutral,-0.02435,-0.00461
train,DUK,2020-11-05,neutral,-0.01234,-0.00805
train,DUK,2021-02-11,neutral,-0.03662,-0.01158
train,DUK,2021-05-10,neutral,0.03846,0.00786
train,DUK,2021-08-05,neutral,0.00491,-0.01064
train,DUK,2021-11-04,neutral,-0.01954,0.00306
train,DUK,2022-02-10,neutral,-0.02902,0.01932
train,DUK,2022-05-09,neutral,0.02735,-0.01937
train,DUK,2022-08-04,neutral,-0.00916,-0.0035
train,DUK,2022-11-04,neutral,-0.01021,-0.02431
train,DUK,2023-02-09,neutral,-0.00777,0.01366
train,DUK,2023-05-09,neutral,-0.00421,0.00644
train,DUK,2023-08-08,neutral,0.0319,0.01417
train,DUK,2023-11-02,neutral,-0.01526,-0.00478
train,DUK,2024-02-08,bullish,-0.03028,-0.01614
train,DUK,2024-05-07,neutral,0.01722,0.00108
train,DUK,2024-08-06,neutral,0.00799,0.01191
train,DUK,2024-11-07,neutral,-0.03017,0.01502
train,DUK,2025-02-13,bullish,-0.03135,-0.02057
train,DUK,2025-05-06,bullish,0.02649,-0.00697
train,DUK,2025-08-05,bullish,0.0037,0.0021
train,DUK,2025-11-07,bullish,-0.00373,-0.02151
train,ELV,2020-04-29,neutral,0.02001,0.00974
train,ELV,2020-07-29,neutral,0.04927,-0.01195
train,ELV,2020-10-28,neutral,-0.00958,-0.05404
train,ELV,2021-01-27,neutral,-0.04707,0.02703
train,ELV,2021-04-21,neutral,-0.00171,-0.00402
train,ELV,2021-07-21,bullish,-0.02438,-0.00024
train,ELV,2021-10-20,bullish,0.07302,0.01239
train,ELV,2022-01-26,bullish,-0.02195,0.02219
train,ELV,2022-04-20,bullish,0.0255,0.0018
train,ELV,2022-07-20,neutral,-0.08254,-0.00496
train,ELV,2022-10-19,bullish,0.02703,0.03793
train,ELV,2023-01-25,bullish,0.0353,0.00233
train,ELV,2023-04-19,bullish,-0.05313,0.00021
train,ELV,2023-07-19,neutral,0.04177,0.03373
train,ELV,2023-10-18,bearish,0.0211,-0.00406
train,ELV,2024-01-24,neutral,0.0021,0.00858
train,ELV,2024-04-18,neutral,0.03393,0.02059
train,ELV,2024-07-17,bearish,-0.04421,-0.02343
train,ELV,2024-10-17,bearish,-0.10595,-0.03441
train,ELV,2025-01-23,bearish,0.02175,0.00192
train,ELV,2025-04-22,neutral,-0.00337,0.01088
train,ELV,2025-07-17,bearish,-0.12831,-0.08312
train,ELV,2025-10-21,bearish,-0.01219,-0.00778
train,EMR,2020-02-04,neutral,-0.00643,0.02627
train,EMR,2020-04-22,neutral,0.0042,0.01542
train,EMR,2020-08-04,neutral,-0.01724,0.03836
train,EMR,2020-11-03,neutral,0.01825,-0.05431
train,EMR,2021-02-03,neutral,-0.00198,-0.00563
train,EMR,2021-05-05,bullish,-0.00273,0.02315
train,EMR,2021-08-04,neutral,-0.00457,0.00225
train,EMR,2021-11-03,neutral,-0.05483,0.01513
train,EMR,2022-02-02,neutral,0.04522,0.01356
train,EMR,2022-05-04,bullish,-0.02095,0.01244
train,EMR,2022-08-09,neutral,-0.03424,-0.01003
train,EMR,2022-11-02,bullish,0.01461,0.03455
train,EMR,2023-02-08,bullish,-0.04599,-0.0011
train,EMR,2023-05-03,neutral,0.02632,-0.0058
train,EMR,2023-08-02,bullish,0.05222,0.01075
train,EMR,2023-11-07,neutral,-0.07697,-0.00297
train,EMR,2024-02-07,bullish,0.09595,-0.01687
train,EMR,2024-05-08,bullish,0.04879,0.02034
train,EMR,2024-08-07,neutral,-0.06977,0.02782
train,EMR,2024-11-05,neutral,0.05949,0.05323
train,EMR,2025-02-05,bullish,-0.027,0.01833
train,EMR,2025-05-07,bullish,0.01994,0.01597
train,EMR,2025-08-06,bullish,-0.0549,-0.00738
train,EMR,2025-11-05,neutral,-0.04187,0.00348
train,EOSE,2021-02-25,neutral,-0.1013,0.1136
train,EOSE,2021-05-12,neutral,-0.03803,-0.04398
train,EOSE,2021-08-11,bearish,-0.03721,-0.0423
train,EOSE,2021-11-10,neutral,-0.00014,0.00518
train,EOSE,2022-02-25,bearish,-0.02847,-0.06196
train,EOSE,2022-05-10,bearish,-0.14891,-0.13749
train,EOSE,2022-08-02,bullish,-0.10524,-0.03418
train,EOSE,2022-11-08,bearish,-0.22625,-0.05814
train,EOSE,2023-03-01,bearish,-0.19251,-0.04187
train,EOSE,2023-05-10,bearish,0.18977,0.01105
train,EOSE,2023-08-15,neutral,0.17972,-0.02144
train,EOSE,2023-11-07,bearish,-0.25424,-0.03805
train,EOSE,2024-03-05,neutral,0.0793,0.02271
train,EOSE,2024-05-15,bearish,-0.13068,-0.02146
train,EOSE,2024-08-07,neutral,-0.18152,-0.04734
train,EOSE,2024-11-06,bearish,-0.22298,0.07462
train,EOSE,2025-03-05,neutral,0.25067,-0.07078
train,EOSE,2025-05-07,neutral,0.31921,-0.10742
train,EOSE,2025-07-31,neutral,-0.03341,-0.01694
train,EOSE,2025-11-06,bullish,0.03967,0.19326
train,EQIX,2020-02-12,bullish,0.00915,0.0213
train,EQIX,2020-05-06,neutral,0.00357,-0.025
train,EQIX,2020-07-30,bullish,0.01389,0.00178
train,EQIX,2020-10-28,neutral,0.01189,-0.03052
train,EQIX,2021-02-10,neutral,0.00114,-0.04596
train,EQIX,2021-04-28,bullish,-0.00882,-0.00821
train,EQIX,2021-07-28,bullish,-0.00615,-0.06385
train,EQIX,2021-11-03,bullish,-0.00495,-0.04564
train,EQIX,2022-02-16,bullish,-0.00082,0.04813
train,EQIX,2022-04-27,neutral,-0.03173,0.02844
train,EQIX,2022-07-27,bullish,-0.00959,0.07807
train,EQIX,2022-11-02,bullish,0.01561,0.07602
train,EQIX,2023-02-15,bullish,-0.00485,0.00681
train,EQIX,2023-05-03,neutral,-0.00101,0.05254
train,EQIX,2023-08-02,neutral,0.01449,-0.05449
train,EQIX,2023-10-25,neutral,-0.01676,0.0666
train,EQIX,2024-02-14,neutral,-0.00893,0.04372
train,EQIX,2024-05-09,neutral,0.10932,-0.02038
train,EQIX,2024-08-07,neutral,0.00118,0.01429
train,EQIX,2024-10-30,bullish,0.00778,0.01725
train,EQIX,2025-02-12,neutral,-0.00572,-0.0236
train,EQIX,2025-04-30,bullish,0.01029,-0.00567
train,EQIX,2025-07-30,bullish,-0.01611,-0.01114
train,EQIX,2025-10-29,bullish,-0.02303,0.05541
train,FRC,2022-01-14,neutral,-0.0426,-0.0454
train,FRC,2022-04-13,bullish,0.05788,-0.01801
train,FRC,2022-07-14,neutral,0.02016,0.01282
train,FRC,2022-10-14,neutral,-0.14154,0.03399
train,FRC,2023-01-13,bearish,0.00608,0.02218
train,FRC,2023-04-24,bearish,0.12098,-0.47788
train,HCA,2020-04-21,neutral,-0.01455,-0.0312
train,HCA,2020-07-22,neutral,0.11404,0.0491
train,HCA,2020-10-26,neutral,0.00999,-0.03251
train,HCA,2021-02-02,neutral,-0.02061,0.04305
train,HCA,2021-04-22,bullish,0.02928,-0.00593
train,HCA,2021-07-20,bullish,0.12935,-0.00669
train,HCA,2021-10-22,bullish,-0.02546,-0.05001
train,HCA,2022-01-27,neutral,-0.04152,0.00907
train,HCA,2022-04-22,bearish,-0.19079,-0.00646
train,HCA,2022-07-22,neutral,0.12356,-0.01804
train,HCA,2022-10-21,neutral,-0.08159,0.05743
train,HCA,2023-01-27,neutral,-0.00261,0.00678
train,HCA,2023-04-21,bullish,0.03774,0.01688
train,HCA,2023-07-27,bullish,-0.01414,-0.0209
train,HCA,2023-10-24,bearish,-0.05245,-0.00633
train,HCA,2024-01-30,bullish,0.0526,0.02729
train,HCA,2024-04-26,bullish,-0.03313,0.01188
train,HCA,2024-07-23,bullish,0.04702,0.03375
train,HCA,2024-10-25,neutral,-0.08827,-0.02224
train,HCA,2025-01-24,neutral,-0.03485,0.07461
train,HCA,2025-04-25,bullish,-0.04674,0.01212
train,HCA,2025-07-25,neutral,-0.02519,0.01886
train,HCA,2025-10-24,bullish,0.00746,0.03478
train,HON,2020-01-31,neutral,-0.01055,-0.0184
train,HON,2020-05-01,neutral,-0.0063,-0.01769
train,HON,2020-07-24,neutral,-0.02153,0.00161
train,HON,2020-10-30,neutral,0.01255,0.04129
train,HON,2021-01-29,neutral,-0.01681,-0.01567
train,HON,2021-04-23,neutral,-0.03161,-0.01536
train,HON,2021-07-23,bullish,-0.02498,-0.00276
train,HON,2021-10-22,neutral,-0.03068,-0.00472
train,HON,2022-02-03,neutral,-0.05267,-0.00595
train,HON,2022-04-29,neutral,0.05586,0.01134
train,HON,2022-07-28,neutral,0.02437,-0.00397
train,HON,2022-10-27,neutral,0.03803,0.01916
train,HON,2023-02-02,neutral,-0.01136,-0.01199
train,HON,2023-04-27,bullish,0.02048,-0.00234
train,HON,2023-07-27,neutral,-0.05027,-0.016
train,HON,2023-10-26,neutral,0.00058,0.00987
train,HON,2024-02-01,neutral,-0.03756,-0.01661
train,HON,2024-04-25,neutral,-0.00529,-0.00725
train,HON,2024-07-25,bearish,-0.04721,-0.00977
train,HON,2024-10-24,bearish,-0.05317,-0.00492
train,HON,2025-02-06,neutral,-0.05983,-0.01134
train,HON,2025-04-29,neutral,0.04767,-0.00508
train,HON,2025-07-24,neutral,-0.06214,-0.00529
train,HON,2025-10-23,neutral,0.06212,-0.0287
train,IBM,2020-01-21,neutral,0.00818,0.03379
train,IBM,2020-04-20,neutral,0.02003,5e-05
train,IBM,2020-07-20,neutral,0.00199,-0.00458
train,IBM,2020-10-19,neutral,0.01195,-0.06894
train,IBM,2021-01-21,neutral,0.01116,-0.09551
train,IBM,2021-04-19,neutral,0.0014,0.04518
train,IBM,2021-07-19,neutral,0.00771,0.00053
train,IBM,2021-10-20,neutral,-0.00449,-0.09824
train,IBM,2022-01-24,neutral,-0.00834,0.06872
train,IBM,2022-04-19,neutral,0.00748,0.07174
train,IBM,2022-07-18,neutral,-0.00454,-0.07951
train,IBM,2022-10-19,neutral,0.00359,0.05565
train,IBM,2023-01-25,bearish,-0.00553,-0.05582
train,IBM,2023-04-19,neutral,-0.01126,0.00577
train,IBM,2023-07-19,neutral,-0.00134,0.02804
train,IBM,2023-10-25,neutral,0.0092,0.06071
train,IBM,2024-01-24,neutral,-0.00115,0.08943
