ticker,call_date,stratum,v6_dir,b_score,b_dir,c_score,c_dir,gt_old_ruler,fwd_rel_ret_tradeable
AMPX,2024-05-09,S5,neutral,-2,bearish,1,neutral,bearish,-48.3658
AMPX,2024-08-08,S5,neutral,-2,bearish,1,neutral,bullish,199.0858
AMPX,2024-11-07,S5,neutral,2,bullish,1,neutral,bullish,49.469
AMPX,2025-03-20,S5,neutral,-1,neutral,2,bullish,bullish,251.3841
AMPX,2025-05-08,S5,neutral,2,bullish,2,bullish,bullish,337.0928
ELV,2020-04-29,S3,neutral,2,bullish,2,bullish,bearish,-10.6492
ELV,2020-07-29,S3,neutral,2,bullish,2,bullish,bearish,-10.8902
ELV,2020-10-28,S3,neutral,-1,neutral,2,bullish,neutral,10.8419
ELV,2021-01-27,S3,neutral,1,neutral,2,bullish,bullish,10.2221
ELV,2021-04-21,S3,neutral,2,bullish,2,bullish,neutral,1.9204
ELV,2021-07-21,S3,bullish,1,neutral,3,bullish,bullish,12.9102
ELV,2022-07-20,S3,neutral,3,bullish,3,bullish,neutral,3.9455
ELV,2023-07-19,S3,neutral,2,bullish,3,bullish,neutral,-4.3717
ELV,2023-10-18,S3,bearish,2,bullish,2,bullish,bearish,-7.5192
ELV,2024-01-24,S3,neutral,1,neutral,2,bullish,neutral,-4.2782
ELV,2024-04-18,S3,neutral,1,neutral,2,bullish,bearish,-33.9929
ELV,2024-07-17,S3,bearish,-2,bearish,1,neutral,bearish,-30.1295
ELV,2025-04-22,S3,neutral,-1,neutral,2,bullish,bearish,-43.4427
BLK,2020-01-15,S1,bullish,1,neutral,2,bullish,bullish,9.0193
BLK,2020-04-16,S1,neutral,-1,neutral,3,bullish,bullish,14.2848
BLK,2021-01-14,S1,neutral,2,bullish,2,bullish,neutral,5.2017
BLK,2022-01-14,S1,neutral,2,bullish,3,bullish,bearish,-12.2078
BLK,2022-07-15,S1,neutral,-2,bearish,2,bullish,bullish,21.8514
BLK,2022-10-13,S1,neutral,-2,bearish,2,bullish,bullish,6.1267
BLK,2023-01-13,S1,neutral,1,neutral,2,bullish,bearish,-15.8441
BLK,2023-04-14,S1,neutral,2,bullish,2,bullish,bearish,-14.3659
BLK,2023-07-14,S1,neutral,2,bullish,2,bullish,neutral,4.1233
BLK,2023-10-13,S1,neutral,-1,neutral,2,bullish,neutral,2.9787
BLK,2025-01-15,S1,neutral,3,bullish,2,bullish,neutral,3.1825
BMY,2020-02-06,S3,neutral,2,bullish,2,bullish,bearish,-8.0676
BMY,2020-05-07,S3,neutral,-1,neutral,2,bullish,bearish,-15.3421
BMY,2020-08-06,S3,neutral,2,bullish,2,bullish,bearish,-14.5438
BMY,2020-11-05,S3,neutral,2,bullish,2,bullish,bearish,-18.6451
BMY,2021-04-29,S3,neutral,2,bullish,1,neutral,bearish,-18.3047
BMY,2021-07-28,S3,neutral,2,bullish,2,bullish,bearish,-7.0222
BMY,2022-02-04,S3,neutral,1,neutral,2,bullish,bullish,16.5139
BMY,2022-04-29,S3,neutral,1,neutral,2,bullish,bullish,8.4735
BMY,2022-07-27,S3,neutral,1,neutral,2,bullish,neutral,-0.6396
BMY,2022-10-26,S3,neutral,2,bullish,2,bullish,bearish,-15.2365
BMY,2023-02-02,S3,neutral,1,neutral,2,bullish,bearish,-26.6062
BMY,2023-04-27,S3,neutral,1,neutral,2,bullish,bearish,-19.8553
BMY,2024-02-02,S3,neutral,-2,bearish,1,neutral,bearish,-6.5455
BMY,2024-10-31,S3,neutral,-1,neutral,2,bullish,bearish,-6.4696
BMY,2025-02-06,S3,neutral,2,bullish,1,neutral,bearish,-25.451
BMY,2025-04-24,S3,neutral,2,bullish,2,bullish,bearish,-30.4931
BMY,2025-07-31,S3,neutral,1,neutral,2,bullish,bullish,11.0899
BMY,2025-10-30,S3,neutral,2,bullish,1,neutral,bullish,26.1512
BOX,2020-12-01,S2,bearish,-1,neutral,1,neutral,bullish,27.3335
BOX,2021-05-27,S2,neutral,1,neutral,2,bullish,bearish,-6.9087
BOX,2022-08-24,S2,neutral,1,neutral,2,bullish,bullish,24.107
BOX,2022-11-30,S2,neutral,-1,neutral,2,bullish,neutral,-6.1635
BOX,2023-03-01,S2,neutral,-1,neutral,2,bullish,bearish,-20.9998
BOX,2023-05-30,S2,neutral,1,neutral,2,bullish,bearish,-17.5357
BOX,2023-08-29,S2,neutral,-2,bearish,-1,neutral,bearish,-19.026
BOX,2024-08-27,S2,neutral,2,bullish,2,bullish,bullish,-2.7117
CMCSA,2020-04-30,S1,neutral,2,bullish,2,bullish,neutral,-0.246
CMCSA,2020-07-30,S1,neutral,1,neutral,2,bullish,neutral,4.9077
CMCSA,2020-10-29,S1,neutral,2,bullish,2,bullish,neutral,4.8832
CMCSA,2021-01-28,S1,neutral,2,bullish,2,bullish,neutral,-1.844
CMCSA,2021-10-28,S1,neutral,-1,neutral,2,bullish,bearish,-12.0731
CMCSA,2022-01-27,S1,bullish,-1,neutral,1,neutral,bearish,-12.6176
CMCSA,2022-04-28,S1,neutral,-1,neutral,2,bullish,bearish,-11.8208
CMCSA,2022-10-27,S1,neutral,2,bullish,2,bullish,bullish,20.0279
CMCSA,2023-04-27,S1,neutral,2,bullish,2,bullish,neutral,-4.5536
CMCSA,2023-07-27,S1,neutral,2,bullish,2,bullish,bearish,-6.7202
CMCSA,2023-10-26,S1,neutral,1,neutral,2,bullish,bearish,-27.0644
CMCSA,2024-04-25,S1,neutral,-2,bearish,2,bullish,bearish,-5.9798
CMCSA,2024-10-31,S1,neutral,-1,neutral,2,bullish,bearish,-20.1587
CMCSA,2025-10-30,S1,neutral,-2,bearish,-1,neutral,neutral,-1.732
CMI,2020-04-28,S3,neutral,-1,neutral,2,bullish,bullish,17.688
CMI,2020-07-28,S3,neutral,-2,bearish,2,bullish,bullish,6.0593
CMI,2020-10-27,S3,neutral,2,bullish,2,bullish,bearish,-7.1023
CMI,2020-11-12,S3,neutral,1,neutral,2,bullish,neutral,-3.4194
CMI,2021-05-04,S3,neutral,2,bullish,2,bullish,bearish,-18.2622
CMI,2021-08-04,S3,neutral,1,neutral,2,bullish,bearish,-4.3176
CMI,2022-02-03,S3,neutral,1,neutral,2,bullish,neutral,3.7323
CMI,2022-08-02,S3,neutral,1,neutral,2,bullish,bullish,16.5118
CMI,2022-11-03,S3,neutral,1,neutral,2,bullish,bearish,-14.7453
CMI,2023-02-06,S3,neutral,1,neutral,2,bullish,bearish,-14.2851
CMI,2023-05-02,S3,bullish,-1,neutral,3,bullish,bearish,-6.1261
CMI,2023-11-02,S3,neutral,-1,neutral,2,bullish,bullish,7.9064
CMI,2024-02-06,S3,neutral,2,bullish,2,bullish,bullish,12.9863
CMI,2024-05-02,S3,neutral,2,bullish,2,bullish,neutral,5.9664
CMI,2025-05-05,S3,neutral,-2,bearish,2,bullish,bullish,24.4281
CMI,2025-08-05,S3,neutral,-1,neutral,2,bullish,bullish,48.9362
CMI,2025-11-06,S3,neutral,1,neutral,2,bullish,bullish,35.2352
COF,2020-04-23,S3,neutral,-2,bearish,1,neutral,bullish,14.9042
COF,2020-07-21,S3,neutral,1,neutral,2,bullish,bullish,60.3614
COF,2020-10-22,S3,neutral,1,neutral,2,bullish,bullish,51.3057
COF,2021-01-26,S3,neutral,2,bullish,2,bullish,bullish,41.0284
COF,2021-04-27,S3,neutral,2,bullish,2,bullish,bullish,4.9555
COF,2022-04-26,S3,neutral,2,bullish,3,bullish,bearish,-10.5584
COF,2022-07-21,S3,neutral,2,bullish,2,bullish,bearish,-8.484
COF,2022-10-27,S3,neutral,1,neutral,3,bullish,bearish,-16.386
COF,2023-01-24,S3,neutral,-2,bearish,2,bullish,bearish,-15.1215
COF,2023-04-27,S3,bullish,-1,neutral,2,bullish,bearish,-7.1935
COF,2023-07-20,S3,neutral,-2,bearish,2,bullish,neutral,2.7142
COF,2023-10-26,S3,neutral,2,bullish,2,bullish,bullish,26.7461
COF,2024-01-25,S3,neutral,2,bullish,2,bullish,neutral,-3.7089
COF,2024-04-25,S3,neutral,1,neutral,2,bullish,bearish,-9.1435
COF,2024-07-23,S3,neutral,1,neutral,3,bullish,bullish,20.5429
COF,2024-10-24,S3,neutral,2,bullish,3,bullish,bullish,20.3323
COF,2025-07-22,S3,neutral,-1,neutral,3,bullish,neutral,-2.619
COST,2020-05-28,S1,neutral,3,bullish,2,bullish,bullish,6.406
COST,2021-03-04,S1,neutral,3,bullish,2,bullish,bullish,27.1377
COST,2021-05-27,S1,neutral,3,bullish,2,bullish,bullish,35.1075
COST,2021-09-23,S1,neutral,1,neutral,3,bullish,bullish,17.8357
COST,2022-05-26,S1,neutral,1,neutral,2,bullish,bullish,16.4751
COST,2022-09-22,S1,neutral,2,bullish,2,bullish,neutral,-2.2744
COST,2022-12-08,S1,neutral,2,bullish,1,neutral,neutral,-1.441
COST,2023-03-02,S1,neutral,2,bullish,2,bullish,neutral,4.1543
COST,2023-05-25,S1,neutral,2,bullish,2,bullish,bullish,8.1797
COST,2023-09-26,S1,neutral,2,bullish,2,bullish,bullish,7.9424
COST,2024-03-07,S1,neutral,3,bullish,3,bullish,bullish,14.7054
COST,2024-05-30,S1,neutral,2,bullish,2,bullish,neutral,5.7458
COST,2024-09-26,S1,bullish,1,neutral,3,bullish,bullish,6.7674
COST,2024-12-12,S1,neutral,1,neutral,3,bullish,neutral,1.4265
COST,2025-09-25,S1,neutral,2,bullish,3,bullish,bullish,9.4824
DD,2020-01-30,S3,bearish,-1,neutral,1,neutral,neutral,4.3479
DD,2020-05-05,S3,neutral,1,neutral,2,bullish,bullish,17.138
DD,2020-07-31,S3,neutral,2,bullish,2,bullish,bullish,38.8935
DD,2020-10-29,S3,neutral,2,bullish,2,bullish,bullish,8.3504
DD,2021-02-09,S3,neutral,3,bullish,2,bullish,bearish,-3.658
DD,2021-08-03,S3,neutral,2,bullish,2,bullish,neutral,1.7059
DD,2021-11-02,S3,bullish,-1,neutral,3,bullish,neutral,-6.7783
DD,2022-02-08,S3,neutral,1,neutral,2,bullish,bearish,-17.945
DD,2022-05-03,S3,neutral,2,bullish,2,bullish,neutral,-4.2746
DD,2022-08-02,S3,neutral,1,neutral,2,bullish,bullish,29.0942
DD,2022-11-08,S3,neutral,2,bullish,2,bullish,bearish,-13.9538
DD,2023-02-07,S3,neutral,-1,neutral,2,bullish,bearish,-8.3807
DD,2023-05-02,S3,neutral,-1,neutral,2,bullish,bullish,10.6728
DD,2023-08-02,S3,neutral,-1,neutral,2,bullish,bearish,-27.4596
DD,2023-11-01,S3,neutral,-1,neutral,2,bullish,neutral,-1.2131
DD,2024-02-06,S3,neutral,2,bullish,2,bullish,bullish,12.5754
DD,2024-05-01,S3,neutral,2,bullish,3,bullish,bearish,-7.7469
DD,2025-08-05,S3,neutral,2,bullish,3,bullish,bullish,43.9511
DD,2025-11-06,S3,neutral,2,bullish,2,bullish,bullish,12.4743
DIOD,2023-02-06,S2,bullish,1,neutral,2,bullish,bearish,-17.0954
DIOD,2023-05-09,S2,neutral,2,bullish,2,bullish,bearish,-27.3385
DIOD,2023-08-08,S2,neutral,-2,bearish,1,neutral,bearish,-26.7307
DIOD,2024-02-06,S2,neutral,-2,bearish,1,neutral,bearish,-10.746
DIOD,2024-05-09,S2,bearish,-2,bearish,1,neutral,bearish,-23.7902
DIOD,2024-08-08,S2,neutral,2,bullish,2,bullish,bearish,-25.6012
DIOD,2024-11-07,S2,neutral,-2,bearish,1,neutral,bearish,-32.2944
DIOD,2025-02-11,S2,neutral,-1,neutral,2,bullish,neutral,-4.8252
DIOD,2025-05-08,S2,neutral,-1,neutral,2,bullish,bullish,-3.0235
DIOD,2025-08-07,S2,neutral,1,neutral,3,bullish,bullish,10.9387
DOW,2020-04-30,S3,neutral,-2,bearish,2,bullish,bullish,19.6228
DOW,2020-07-23,S3,neutral,2,bullish,2,bullish,bullish,15.34
DOW,2020-10-22,S3,neutral,2,bullish,2,bullish,bullish,6.3222
DOW,2022-01-27,S3,neutral,0,neutral,2,bullish,bearish,-4.7728
DOW,2022-04-21,S3,neutral,2,bullish,2,bullish,bearish,-20.1777
DOW,2022-10-20,S3,neutral,-2,bearish,2,bullish,bullish,8.7963
DOW,2023-01-26,S3,neutral,2,bullish,1,neutral,bearish,-18.3726
DOW,2023-04-25,S3,neutral,2,bullish,0,neutral,bearish,-11.1178
DOW,2023-07-25,S3,neutral,-2,bearish,2,bullish,bearish,-6.0523
DOW,2024-01-25,S3,neutral,-1,neutral,2,bullish,bearish,-12.7017
DOW,2024-04-25,S3,neutral,2,bullish,2,bullish,bearish,-24.962
DUK,2020-02-13,S1,neutral,1,neutral,2,bullish,bearish,-18.0776
DUK,2020-11-05,S1,neutral,2,bullish,1,neutral,bearish,-12.0811
DUK,2021-02-11,S1,neutral,2,bullish,1,neutral,neutral,4.3053
DUK,2021-11-04,S1,neutral,2,bullish,2,bullish,bullish,19.9108
DUK,2022-11-04,S1,neutral,2,bullish,2,bullish,neutral,-0.8705
DUK,2023-02-09,S1,neutral,2,bullish,1,neutral,bearish,-15.5366
DUK,2023-08-08,S1,neutral,1,neutral,2,bullish,bearish,-8.4067
DUK,2024-05-07,S1,neutral,2,bullish,2,bullish,neutral,-0.0784
DUK,2024-08-06,S1,neutral,2,bullish,2,bullish,bearish,-16.9774
DUK,2024-11-07,S1,neutral,2,bullish,2,bullish,bullish,11.5174
EMR,2020-02-04,S1,neutral,-2,bearish,2,bullish,bearish,-17.6827
EMR,2020-04-22,S1,neutral,-1,neutral,2,bullish,bullish,8.0
EMR,2020-08-04,S1,neutral,2,bullish,2,bullish,bullish,14.6233
EMR,2020-11-03,S1,neutral,2,bullish,2,bullish,bullish,12.7088
EMR,2021-02-03,S1,neutral,2,bullish,3,bullish,neutral,5.3895
EMR,2021-08-04,S1,neutral,-1,neutral,3,bullish,bearish,-6.9924
EMR,2021-11-03,S1,neutral,1,neutral,2,bullish,neutral,2.1164
EMR,2022-02-02,S1,neutral,2,bullish,3,bullish,neutral,0.1898
EMR,2022-08-09,S1,neutral,2,bullish,2,bullish,neutral,5.301
EMR,2023-05-03,S1,neutral,2,bullish,3,bullish,neutral,3.9761
EMR,2023-11-07,S1,neutral,2,bullish,3,bullish,bullish,8.4547
EMR,2024-08-07,S1,neutral,1,neutral,2,bullish,bullish,5.3979
EMR,2024-11-05,S1,neutral,2,bullish,3,bullish,bearish,-9.9874
EMR,2025-11-05,S1,neutral,2,bullish,3,bullish,neutral,3.0723
EOSE,2021-02-25,S5,neutral,-2,bearish,1,neutral,bearish,-52.7443
EOSE,2021-05-12,S5,neutral,-2,bearish,2,bullish,bearish,-10.0763
EOSE,2021-11-10,S5,neutral,-2,bearish,1,neutral,bearish,-72.1066
EOSE,2022-02-25,S5,bearish,-3,bearish,-1,neutral,bearish,-20.0683
EOSE,2022-08-02,S5,bullish,-2,bearish,2,bullish,bearish,-42.6053
EOSE,2023-05-10,S5,bearish,-3,bearish,-1,neutral,bearish,-46.6482
EOSE,2023-08-15,S5,neutral,-2,bearish,-2,bearish,bearish,-75.7903
EOSE,2024-03-05,S5,neutral,-3,bearish,-1,neutral,bullish,113.3176
EOSE,2024-05-15,S5,bearish,-2,bearish,1,neutral,bullish,214.2389
EOSE,2024-08-07,S5,neutral,-2,bearish,-1,neutral,bullish,268.4054
EOSE,2024-11-06,S5,bearish,-3,bearish,-1,neutral,bullish,147.4523
EOSE,2025-07-31,S5,neutral,-2,bearish,-1,neutral,bullish,180.7452
EQIX,2020-05-06,S3,neutral,2,bullish,3,bullish,bearish,-4.3213
EQIX,2020-10-28,S3,neutral,2,bullish,3,bullish,bearish,-30.9884
EQIX,2021-02-10,S3,neutral,2,bullish,2,bullish,bearish,-1.1572
EQIX,2022-04-27,S3,neutral,3,bullish,3,bullish,bearish,-15.9091
EQIX,2023-05-03,S3,neutral,1,neutral,3,bullish,neutral,-2.9847
EQIX,2023-08-02,S3,neutral,2,bullish,3,bullish,neutral,1.6797
EQIX,2023-10-25,S3,neutral,2,bullish,3,bullish,bearish,-17.3205
EQIX,2024-02-14,S3,neutral,-1,neutral,2,bullish,bearish,-12.141
EQIX,2024-05-09,S3,neutral,-1,neutral,2,bullish,neutral,5.4495
EQIX,2024-08-07,S3,neutral,2,bullish,2,bullish,neutral,1.8274
EQIX,2025-02-12,S3,neutral,2,bullish,3,bullish,bearish,-20.8261
FRC,2022-04-13,S4,bullish,1,neutral,3,bullish,neutral,-0.8607
FRC,2022-07-14,S4,neutral,1,neutral,3,bullish,bearish,-21.2296
FRC,2022-10-14,S4,neutral,-3,bearish,-1,neutral,bearish,-101.4455
FRC,2023-01-13,S4,bearish,-2,bearish,1,neutral,bearish,-112.474
HCA,2020-04-21,S3,neutral,-2,bearish,2,bullish,neutral,7.4893
HCA,2020-07-22,S3,neutral,1,neutral,2,bullish,bullish,13.4092
HCA,2020-10-26,S3,neutral,2,bullish,2,bullish,bullish,30.1423
HCA,2021-02-02,S3,neutral,2,bullish,2,bullish,bullish,30.9063
HCA,2022-01-27,S3,neutral,2,bullish,1,neutral,neutral,-3.2208
HCA,2022-04-22,S3,bearish,-2,bearish,2,bullish,bullish,6.0783
HCA,2022-07-22,S3,neutral,2,bullish,2,bullish,bullish,31.5231
HCA,2022-10-21,S3,neutral,1,neutral,2,bullish,bullish,24.8831
HCA,2023-01-27,S3,neutral,2,bullish,2,bullish,bearish,-6.1857
HCA,2023-10-24,S3,bearish,-2,bearish,2,bullish,bullish,20.6428
HCA,2024-01-30,S3,bullish,1,neutral,3,bullish,bullish,6.2711
HCA,2024-10-25,S3,neutral,3,bullish,3,bullish,neutral,-2.8423
HCA,2025-01-24,S3,neutral,1,neutral,3,bullish,neutral,-5.5961
HCA,2025-07-25,S3,neutral,1,neutral,2,bullish,bullish,30.0649
HON,2020-01-31,S1,neutral,-1,neutral,2,bullish,bearish,-13.5527
HON,2020-05-01,S1,neutral,-2,bearish,2,bullish,neutral,6.8512
HON,2020-07-24,S1,neutral,1,neutral,2,bullish,bullish,15.6956
HON,2020-10-30,S1,neutral,2,bullish,2,bullish,bullish,2.094
HON,2021-01-29,S1,neutral,1,neutral,2,bullish,neutral,2.9953
HON,2021-04-23,S1,neutral,1,neutral,2,bullish,bearish,-10.363
HON,2021-10-22,S1,neutral,2,bullish,2,bullish,bearish,-5.8923
HON,2022-02-03,S1,neutral,-1,neutral,2,bullish,bullish,8.1864
HON,2022-04-29,S1,neutral,2,bullish,2,bullish,bullish,10.2367
HON,2022-07-28,S1,neutral,2,bullish,2,bullish,bullish,10.5332
HON,2022-10-27,S1,neutral,2,bullish,2,bullish,bearish,-9.0966
HON,2023-02-02,S1,neutral,1,neutral,2,bullish,bearish,-14.8585
HON,2023-07-27,S1,neutral,2,bullish,2,bullish,neutral,-3.0328
HON,2023-10-26,S1,neutral,2,bullish,2,bullish,bearish,-13.5483
HON,2024-02-01,S1,neutral,1,neutral,2,bullish,bearish,-5.5242
HON,2024-04-25,S1,neutral,1,neutral,2,bullish,bearish,-5.8753
HON,2024-07-25,S1,bearish,0,neutral,2,bullish,neutral,-0.6907
HON,2024-10-24,S1,bearish,-2,bearish,1,neutral,neutral,2.0964
HON,2025-02-06,S1,neutral,2,bullish,2,bullish,neutral,0.1415
HON,2025-04-29,S1,neutral,2,bullish,2,bullish,bearish,-22.0398
HON,2025-07-24,S1,neutral,2,bullish,2,bullish,neutral,-2.8475
HON,2025-10-23,S1,neutral,2,bullish,2,bullish,neutral,0.6096
IBM,2020-01-21,S2,neutral,2,bullish,2,bullish,bearish,-10.4809
IBM,2020-04-20,S2,neutral,-2,bearish,1,neutral,bearish,-17.7574
IBM,2020-07-20,S2,neutral,-2,bearish,1,neutral,bearish,-14.156
IBM,2020-10-19,S2,neutral,-2,bearish,1,neutral,bearish,-7.4994
IBM,2022-04-19,S2,neutral,1,neutral,2,bullish,bullish,5.4265
IBM,2022-10-19,S2,neutral,2,bullish,2,bullish,bearish,-14.879
IBM,2023-01-25,S2,bearish,1,neutral,1,neutral,bearish,-7.6173
IBM,2023-04-19,S2,neutral,0,neutral,2,bullish,bullish,6.3205
IBM,2023-07-19,S2,neutral,1,neutral,2,bullish,bullish,15.57
IBM,2024-04-24,S2,neutral,1,neutral,2,bullish,bullish,22.9986
IBM,2024-07-24,S2,neutral,2,bullish,2,bullish,bullish,3.658
IBM,2024-10-23,S2,neutral,-1,neutral,2,bullish,bullish,19.9695
IBM,2025-04-23,S2,neutral,2,bullish,2,bullish,bearish,3.2162
INTC,2020-01-23,S1,neutral,-2,bearish,2,bullish,neutral,-10.019
INTC,2020-04-23,S1,neutral,-1,neutral,2,bullish,bearish,-30.8281
INTC,2020-10-22,S1,neutral,2,bullish,2,bullish,neutral,10.5843
INTC,2021-04-23,S1,neutral,-2,bearish,0,neutral,bearish,-24.3302
INTC,2021-10-21,S1,neutral,-2,bearish,2,bullish,bearish,-0.6392
INTC,2022-01-26,S1,neutral,-2,bearish,2,bullish,bearish,-9.3757
INTC,2022-04-28,S1,neutral,-2,bearish,1,neutral,bearish,-31.962
INTC,2023-04-27,S1,bearish,-2,bearish,-1,neutral,bullish,5.5132
INTC,2023-07-27,S1,neutral,2,bullish,2,bullish,bullish,27.7284
INTC,2024-01-25,S1,neutral,-2,bearish,2,bullish,bearish,-39.2149
INTC,2024-04-25,S1,bearish,-2,bearish,-1,neutral,bearish,-43.89
INTC,2024-10-31,S1,bearish,-2,bearish,-1,neutral,bearish,-11.6781
INTC,2025-01-30,S1,bearish,-2,bearish,-1,neutral,bearish,-3.1238
INTC,2025-04-24,S1,bearish,-1,neutral,-2,bearish,bullish,68.328
INTC,2025-07-24,S1,bearish,-2,bearish,-1,neutral,bullish,154.2723
ITW,2020-01-31,S3,neutral,1,neutral,2,bullish,neutral,4.0935
ITW,2020-05-05,S3,neutral,2,bullish,2,bullish,bullish,12.9085
ITW,2020-07-31,S3,neutral,2,bullish,2,bullish,bearish,-8.0962
ITW,2020-10-23,S3,neutral,2,bullish,3,bullish,bearish,-8.4794
ITW,2021-02-05,S3,neutral,2,bullish,2,bullish,neutral,-1.8096
ITW,2021-04-30,S3,neutral,3,bullish,3,bullish,bearish,-12.2521
ITW,2021-07-30,S3,neutral,2,bullish,3,bullish,neutral,1.7798
ITW,2021-10-28,S3,neutral,1,neutral,2,bullish,neutral,-4.1911
ITW,2022-02-03,S3,neutral,2,bullish,2,bullish,bearish,-0.8227
ITW,2022-08-02,S3,neutral,3,bullish,3,bullish,bullish,15.1099
ITW,2023-02-02,S3,neutral,-1,neutral,2,bullish,bearish,-7.4307
ITW,2023-05-02,S3,neutral,2,bullish,2,bullish,bearish,-5.9747
ITW,2023-08-01,S3,neutral,2,bullish,2,bullish,neutral,-2.7397
ITW,2023-10-24,S3,neutral,-1,neutral,2,bullish,bearish,-10.1819
ITW,2024-02-01,S3,neutral,2,bullish,1,neutral,bearish,-15.2326
ITW,2024-04-30,S3,neutral,2,bullish,2,bullish,bearish,-10.5889
ITW,2024-07-30,S3,neutral,1,neutral,2,bullish,bearish,-5.1288
ITW,2025-02-05,S3,neutral,1,neutral,2,bullish,neutral,-3.4153
ITW,2025-04-30,S3,neutral,2,bullish,2,bullish,bearish,-21.9183
ITW,2025-07-30,S3,neutral,2,bullish,2,bullish,bearish,-9.1302
JKS,2020-06-20,S2,bearish,-1,neutral,1,neutral,bullish,336.6457
JKS,2020-09-23,S2,neutral,2,bullish,2,bullish,neutral,0.1919
JKS,2020-12-07,S2,neutral,-1,neutral,2,bullish,bearish,-52.5503
JKS,2021-04-09,S2,neutral,-2,bearish,1,neutral,bullish,23.6084
JKS,2021-06-25,S2,neutral,-2,bearish,-1,neutral,bearish,-31.8557
JKS,2021-09-15,S2,neutral,-2,bearish,-1,neutral,neutral,7.2271
JKS,2022-03-23,S2,neutral,-1,neutral,2,bullish,bullish,21.8815
JKS,2022-04-28,S2,neutral,-2,bearish,1,neutral,neutral,1.1195
JKS,2022-08-26,S2,bearish,-1,neutral,2,bullish,bearish,-16.628
JKS,2023-03-10,S2,neutral,2,bullish,2,bullish,bearish,-57.0768
JKS,2023-04-28,S2,bearish,2,bullish,2,bullish,bearish,-46.6505
JKS,2024-03-20,S2,neutral,-2,bearish,-1,neutral,bearish,-21.3698
JKS,2024-04-29,S2,neutral,-2,bearish,-1,neutral,neutral,-0.8653
JKS,2024-08-30,S2,bearish,-2,bearish,-1,neutral,bullish,17.402
JPM,2020-01-14,S3,bullish,1,neutral,2,bullish,bearish,-25.3425
JPM,2020-06-24,S3,neutral,-2,bearish,2,bullish,bullish,8.0813
JPM,2020-07-13,S3,neutral,1,neutral,2,bullish,bullish,21.8248
JPM,2020-10-13,S3,neutral,-1,neutral,2,bullish,bullish,35.0899
